2100-02-09	2100-01-01
2100-03-11	2100-02-01
2100-04-10	2100-03-01
2100-05-09	2100-04-01
2100-06-08	2100-05-01
2100-07-07	2100-06-01
2100-08-06	2100-07-01
2100-09-04	2100-08-01
2100-10-04	2100-09-01
2100-11-02	2100-10-01
2100-12-01	2100-11-01
2100-12-31	2100-12-01
2101-01-29	2101-01-01
2101-02-28	2101-02-01
2101-03-30	2101-03-01
2101-04-28	2101-04-01
2101-05-28	2101-05-01
2101-06-27	2101-06-01
2101-07-26	2101-07-01
2101-08-25	2101-07'-01
2101-09-23	2101-08-01
2101-10-23	2101-09-01
2101-11-21	2101-10-01
2101-12-20	2101-11-01
2102-01-19	2101-12-01
2102-02-17	2102-01-01
2102-03-19	2102-02-01
2102-04-17	2102-03-01
2102-05-17	2102-04-01
2102-06-16	2102-05-01
2102-07-15	2102-06-01
2102-08-14	2102-07-01
2102-09-12	2102-08-01
2102-10-12	2102-09-01
2102-11-11	2102-10-01
2102-12-10	2102-11-01
2103-01-09	2102-12-01
2103-02-07	2103-01-01
2103-03-08	2103-02-01
2103-04-07	2103-03-01
2103-05-06	2103-04-01
2103-06-05	2103-05-01
2103-07-04	2103-06-01
2103-08-03	2103-07-01
2103-09-01	2103-08-01
2103-10-01	2103-09-01
2103-10-31	2103-10-01
2103-11-30	2103-11-01
2103-12-29	2103-12-01
2104-01-28	2104-01-01
2104-02-26	2104-02-01
2104-03-27	2104-03-01
2104-04-25	2104-04-01
2104-05-24	2104-05-01
2104-06-23	2104-05'-01
2104-07-22	2104-06-01
2104-08-21	2104-07-01
2104-09-19	2104-08-01
2104-10-19	2104-09-01
2104-11-18	2104-10-01
2104-12-17	2104-11-01
2105-01-16	2104-12-01
2105-02-15	2105-01-01
2105-03-16	2105-02-01
2105-04-15	2105-03-01
2105-05-14	2105-04-01
2105-06-12	2105-05-01
2105-07-12	2105-06-01
2105-08-10	2105-07-01
2105-09-08	2105-08-01
2105-10-08	2105-09-01
2105-11-07	2105-10-01
2105-12-06	2105-11-01
2106-01-05	2105-12-01
2106-02-04	2106-01-01
2106-03-06	2106-02-01
2106-04-04	2106-03-01
2106-05-04	2106-04-01
2106-06-02	2106-05-01
2106-07-01	2106-06-01
2106-07-31	2106-07-01
2106-08-29	2106-08-01
2106-09-27	2106-09-01
2106-10-27	2106-10-01
2106-11-25	2106-11-01
2106-12-25	2106-12-01
2107-01-24	2107-01-01
2107-02-23	2107-02-01
2107-03-25	2107-03-01
2107-04-23	2107-04-01
2107-05-23	2107-04'-01
2107-06-21	2107-05-01
2107-07-20	2107-06-01
2107-08-19	2107-07-01
2107-09-17	2107-08-01
2107-10-16	2107-09-01
2107-11-15	2107-10-01
2107-12-14	2107-11-01
2108-01-13	2107-12-01
2108-02-12	2108-01-01
2108-03-13	2108-02-01
2108-04-11	2108-03-01
2108-05-11	2108-04-01
2108-06-09	2108-05-01
2108-07-09	2108-06-01
2108-08-07	2108-07-01
2108-09-06	2108-08-01
2108-10-05	2108-09-01
2108-11-03	2108-10-01
2108-12-03	2108-11-01
2109-01-01	2108-12-01
2109-01-31	2109-01-01
2109-03-02	2109-02-01
2109-03-31	2109-03-01
2109-04-30	2109-04-01
2109-05-30	2109-05-01
2109-06-28	2109-06-01
2109-07-28	2109-07-01
2109-08-26	2109-08-01
2109-09-25	2109-09-01
2109-10-24	2109-09'-01
2109-11-22	2109-10-01
2109-12-22	2109-11-01
2110-01-20	2109-12-01
2110-02-19	2110-01-01
2110-03-20	2110-02-01
2110-04-19	2110-03-01
2110-05-19	2110-04-01
2110-06-17	2110-05-01
2110-07-17	2110-06-01
2110-08-16	2110-07-01
2110-09-14	2110-08-01
2110-10-14	2110-09-01
2110-11-12	2110-10-01
2110-12-11	2110-11-01
2111-01-10	2110-12-01
2111-02-08	2111-01-01
2111-03-10	2111-02-01
2111-04-08	2111-03-01
2111-05-08	2111-04-01
2111-06-06	2111-05-01
2111-07-06	2111-06-01
2111-08-05	2111-07-01
2111-09-03	2111-08-01
2111-10-03	2111-09-01
2111-11-01	2111-10-01
2111-12-01	2111-11-01
2111-12-31	2111-12-01
2112-01-29	2112-01-01
2112-02-27	2112-02-01
2112-03-28	2112-03-01
2112-04-26	2112-04-01
2112-05-26	2112-05-01
