0237-02-13	0237-01-01
0237-03-15	0237-02-01
0237-04-13	0237-03-01
0237-05-13	0237-04-01
0237-06-11	0237-05-01
0237-07-10	0237-06-01
0237-08-09	0237-07-01
0237-09-07	0237-08-01
0237-10-07	0237-09-01
0237-11-05	0237-10-01
0237-12-05	0237-11-01
0238-01-03	0237-12-01
0238-02-02	0238-01-01
0238-03-03	0238-02-01
0238-04-02	0238-03-01
0238-05-01	0238-04-01
0238-05-31	0238-05-01
0238-06-29	0238-06-01
0238-07-29	0238-07-01
0238-08-28	0238-08-01
0238-09-26	0238-09-01
0238-10-26	0238-10-01
0238-11-24	0238-10'-01
0238-12-24	0238-11-01
0239-01-22	0238-12-01
0239-02-21	0239-01-01
0239-03-22	0239-02-01
0239-04-21	0239-03-01
0239-05-20	0239-04-01
0239-06-19	0239-05-01
0239-07-18	0239-06-01
0239-08-17	0239-07-01
0239-09-15	0239-08-01
0239-10-15	0239-09-01
0239-11-13	0239-10-01
0239-12-13	0239-11-01
0240-01-12	0239-12-01
0240-02-10	0240-01-01
0240-03-11	0240-02-01
0240-04-09	0240-03-01
0240-05-09	0240-04-01
0240-06-07	0240-05-01
0240-07-07	0240-06-01
0240-08-05	0240-07-01
0240-09-04	0240-08-01
0240-10-03	0240-09-01
0240-11-02	0240-10-01
0240-12-01	0240-11-01
0240-12-31	0240-12-01
0241-01-29	0241-01-01
0241-02-28	0241-02-01
0241-03-29	0241-03-01
0241-04-28	0241-04-01
0241-05-28	0241-05-01
0241-06-26	0241-06-01
0241-07-26	0241-06'-01
0241-08-24	0241-07-01
0241-09-23	0241-08-01
0241-10-22	0241-09-01
0241-11-21	0241-10-01
0241-12-20	0241-11-01
0242-01-19	0241-12-01
0242-02-17	0242-01-01
0242-03-19	0242-02-01
0242-04-17	0242-03-01
0242-05-17	0242-04-01
0242-06-15	0242-05-01
0242-07-15	0242-06-01
0242-08-14	0242-07-01
0242-09-12	0242-08-01
0242-10-12	0242-09-01
0242-11-10	0242-10-01
0242-12-10	0242-11-01
0243-01-08	0242-12-01
0243-02-07	0243-01-01
0243-03-08	0243-02-01
0243-04-07	0243-03-01
0243-05-06	0243-04-01
0243-06-05	0243-05-01
0243-07-04	0243-06-01
0243-08-03	0243-07-01
0243-09-01	0243-08-01
0243-10-01	0243-09-01
0243-10-30	0243-10-01
0243-11-29	0243-11-01
0243-12-29	0243-12-01
0244-01-27	0244-01-01
0244-02-26	0244-02-01
0244-03-26	0244-03-01
0244-04-25	0244-03'-01
0244-05-24	0244-04-01
0244-06-23	0244-05-01
0244-07-22	0244-06-01
0244-08-21	0244-07-01
0244-09-19	0244-08-01
0244-10-19	0244-09-01
0244-11-17	0244-10-01
0244-12-17	0244-11-01
0245-01-15	0244-12-01
0245-02-14	0245-01-01
0245-03-15	0245-02-01
0245-04-14	0245-03-01
0245-05-14	0245-04-01
0245-06-12	0245-05-01
0245-07-12	0245-06-01
0245-08-10	0245-07-01
0245-09-09	0245-08-01
0245-10-08	0245-09-01
0245-11-07	0245-10-01
0245-12-06	0245-11-01
0246-01-05	0245-12-01
0246-02-03	0246-01-01
0246-03-05	0246-02-01
0246-04-03	0246-03-01
0246-05-03	0246-04-01
0246-06-01	0246-05-01
0246-07-01	0246-06-01
0246-07-31	0246-07-01
0246-08-29	0246-08-01
0246-09-28	0246-09-01
0246-10-27	0246-10-01
0246-11-26	0246-11-01
0246-12-25	0246-12-01
0247-01-24	0246-12'-01
