0223-02-18	0223-01-01
0223-03-19	0223-02-01
0223-04-18	0223-03-01
0223-05-17	0223-04-01
0223-06-16	0223-05-01
0223-07-15	0223-06-01
0223-08-14	0223-07-01
0223-09-12	0223-08-01
0223-10-12	0223-09-01
0223-11-10	0223-10-01
0223-12-10	0223-11-01
0224-01-09	0223-12-01
0224-02-07	0224-01-01
0224-03-08	0224-02-01
0224-04-06	0224-03-01
0224-05-06	0224-04-01
0224-06-04	0224-05-01
0224-07-04	0224-06-01
0224-08-02	0224-07-01
0224-09-01	0224-08-01
0224-09-30	0224-09-01
0224-10-30	0224-10-01
0224-11-28	0224-11-01
0224-12-28	0224-12-01
0225-01-26	0225-01-01
0225-02-25	0225-02-01
0225-03-27	0225-03-01
0225-04-25	0225-04-01
0225-05-25	0225-04'-01
0225-06-23	0225-05-01
0225-07-23	0225-06-01
0225-08-21	0225-07-01
0225-09-20	0225-08-01
0225-10-19	0225-09-01
0225-11-18	0225-10-01
0225-12-17	0225-11-01
0226-01-16	0225-12-01
0226-02-14	0226-01-01
0226-03-16	0226-02-01
0226-04-14	0226-03-01
0226-05-14	0226-04-01
0226-06-12	0226-05-01
0226-07-12	0226-06-01
0226-08-11	0226-07-01
0226-09-09	0226-08-01
0226-10-09	0226-09-01
0226-11-07	0226-10-01
0226-12-07	0226-11-01
0227-01-05	0226-12-01
0227-02-04	0227-01-01
0227-03-05	0227-02-01
0227-04-04	0227-03-01
0227-05-03	0227-04-01
0227-06-02	0227-05-01
0227-07-01	0227-06-01
0227-07-31	0227-07-01
0227-08-29	0227-08-01
0227-09-28	0227-09-01
0227-10-27	0227-10-01
0227-11-26	0227-11-01
0227-12-26	0227-12-01
0228-01-24	0227-12'-01
0228-02-23	0228-01-01
0228-03-23	0228-02-01
0228-04-22	0228-03-01
0228-05-21	0228-04-01
0228-06-20	0228-05-01
0228-07-19	0228-06-01
0228-08-18	0228-07-01
0228-09-16	0228-08-01
0228-10-16	0228-09-01
0228-11-14	0228-10-01
0228-12-14	0228-11-01
0229-01-12	0228-12-01
0229-02-11	0229-01-01
0229-03-12	0229-02-01
0229-04-11	0229-03-01
