0384-02-09	0384-01-01
0384-03-10	0384-02-01
0384-04-08	0384-03-01
0384-05-08	0384-04-01
0384-06-06	0384-05-01
0384-07-06	0384-06-01
0384-08-04	0384-07-01
0384-09-03	0384-08-01
0384-10-02	0384-09-01
0384-11-01	0384-10-01
0384-11-30	0384-11-01
0384-12-30	0384-12-01
0385-01-28	0385-01-01
0385-02-27	0385-02-01
0385-03-28	0385-03-01
0385-04-27	0385-04-01
0385-05-27	0385-05-01
0385-06-25	0385-05'-01
0385-07-25	0385-06-01
0385-08-23	0385-07-01
0385-09-22	0385-08-01
0385-10-21	0385-09-01
0385-11-20	0385-10-01
0385-12-19	0385-11-01
0386-01-18	0385-12-01
0386-02-16	0386-01-01
0386-03-18	0386-02-01
0386-04-16	0386-03-01
0386-05-16	0386-04-01
0386-06-14	0386-05-01
0386-07-14	0386-06-01
0386-08-12	0386-07-01
0386-09-11	0386-08-01
0386-10-11	0386-09-01
0386-11-09	0386-10-01
0386-12-09	0386-11-01
0387-01-07	0386-12-01
0387-02-06	0387-01-01
0387-03-07	0387-02-01
0387-04-06	0387-03-01
0387-05-05	0387-04-01
0387-06-04	0387-05-01
0387-07-03	0387-06-01
0387-08-02	0387-07-01
0387-08-31	0387-08-01
0387-09-30	0387-09-01
0387-10-29	0387-10-01
0387-11-28	0387-11-01
0387-12-27	0387-12-01
0388-01-26	0388-01-01
0388-02-25	0388-01'-01
0388-03-25	0388-02-01
0388-04-24	0388-03-01
0388-05-23	0388-04-01
0388-06-22	0388-05-01
0388-07-21	0388-06-01
0388-08-20	0388-07-01
0388-09-18	0388-08-01
0388-10-18	0388-09-01
0388-11-16	0388-10-01
0388-12-16	0388-11-01
0389-01-14	0388-12-01
0389-02-13	0389-01-01
0389-03-14	0389-02-01
0389-04-13	0389-03-01
0389-05-13	0389-04-01
0389-06-11	0389-05-01
0389-07-11	0389-06-01
0389-08-09	0389-07-01
0389-09-08	0389-08-01
0389-10-07	0389-09-01
0389-11-06	0389-10-01
0389-12-05	0389-11-01
0390-01-04	0389-12-01
0390-02-02	0390-01-01
0390-03-04	0390-02-01
0390-04-02	0390-03-01
0390-05-02	0390-04-01
0390-05-31	0390-05-01
0390-06-30	0390-06-01
0390-07-29	0390-07-01
0390-08-28	0390-08-01
0390-09-27	0390-09-01
0390-10-26	0390-10-01
0390-11-25	0390-10'-01
0390-12-24	0390-11-01
0391-01-23	0390-12-01
0391-02-21	0391-01-01
0391-03-23	0391-02-01
0391-04-21	0391-03-01
0391-05-21	0391-04-01
0391-06-19	0391-05-01
0391-07-19	0391-06-01
0391-08-17	0391-07-01
0391-09-16	0391-08-01
0391-10-15	0391-09-01
0391-11-14	0391-10-01
0391-12-13	0391-11-01
0392-01-12	0391-12-01
0392-02-11	0392-01-01
0392-03-11	0392-02-01
0392-04-10	0392-03-01
0392-05-09	0392-04-01
0392-06-08	0392-05-01
0392-07-07	0392-06-01
0392-08-06	0392-07-01
0392-09-04	0392-08-01
0392-10-04	0392-09-01
0392-11-02	0392-10-01
0392-12-02	0392-11-01
0392-12-31	0392-12-01
0393-01-30	0393-01-01
0393-02-28	0393-02-01
0393-03-30	0393-03-01
0393-04-29	0393-04-01
0393-05-28	0393-05-01
0393-06-27	0393-06-01
0393-07-26	0393-07-01
0393-08-25	0393-07'-01
0393-09-23	0393-08-01
0393-10-23	0393-09-01
0393-11-21	0393-10-01
0393-12-21	0393-11-01
0394-01-19	0393-12-01
0394-02-18	0394-01-01
0394-03-19	0394-02-01
0394-04-18	0394-03-01
0394-05-17	0394-04-01
0394-06-16	0394-05-01
0394-07-15	0394-06-01
0394-08-14	0394-07-01
0394-09-13	0394-08-01
0394-10-12	0394-09-01
0394-11-11	0394-10-01
0394-12-10	0394-11-01
0395-01-09	0394-12-01
0395-02-07	0395-01-01
0395-03-09	0395-02-01
0395-04-07	0395-03-01
0395-05-07	0395-04-01
0395-06-05	0395-05-01
0395-07-05	0395-06-01
