1901-01-20	1900-12-01
1901-02-19	1901-01-01
1901-03-20	1901-02-01
1901-04-19	1901-03-01
1901-05-18	1901-04-01
1901-06-16	1901-05-01
1901-07-16	1901-06-01
1901-08-14	1901-07-01
1901-09-13	1901-08-01
1901-10-12	1901-09-01
1901-11-11	1901-10-01
1901-12-11	1901-11-01
1902-01-10	1901-12-01
1902-02-08	1902-01-01
1902-03-10	1902-02-01
1902-04-08	1902-03-01
1902-05-08	1902-04-01
1902-06-06	1902-05-01
1902-07-05	1902-06-01
1902-08-04	1902-07-01
1902-09-02	1902-08-01
1902-10-02	1902-09-01
1902-10-31	1902-10-01
1902-11-30	1902-11-01
1902-12-30	1902-12-01
1903-01-29	1903-01-01
1903-02-27	1903-02-01
1903-03-29	1903-03-01
1903-04-27	1903-04-01
1903-05-27	1903-05-01
1903-06-25	1903-05'-01
1903-07-24	1903-06-01
1903-08-23	1903-07-01
1903-09-21	1903-08-01
1903-10-20	1903-09-01
1903-11-19	1903-10-01
1903-12-19	1903-11-01
1904-01-17	1903-12-01
1904-02-16	1904-01-01
1904-03-17	1904-02-01
1904-04-16	1904-03-01
1904-05-15	1904-04-01
1904-06-14	1904-05-01
1904-07-13	1904-06-01
1904-08-11	1904-07-01
1904-09-10	1904-08-01
1904-10-09	1904-09-01
1904-11-07	1904-10-01
1904-12-07	1904-11-01
1905-01-06	1904-12-01
1905-02-04	1905-01-01
1905-03-06	1905-02-01
1905-04-05	1905-03-01
1905-05-04	1905-04-01
1905-06-03	1905-05-01
1905-07-03	1905-06-01
1905-08-01	1905-07-01
1905-08-30	1905-08-01
1905-09-29	1905-09-01
1905-10-28	1905-10-01
1905-11-27	1905-11-01
1905-12-26	1905-12-01
1906-01-25	1906-01-01
1906-02-23	1906-02-01
1906-03-25	1906-03-01
1906-04-24	1906-04-01
1906-05-23	1906-04'-01
1906-06-22	1906-05-01
1906-07-21	1906-06-01
1906-08-20	1906-07-01
1906-09-18	1906-08-01
1906-10-18	1906-09-01
1906-11-16	1906-10-01
1906-12-16	1906-11-01
1907-01-14	1906-12-01
1907-02-13	1907-01-01
1907-03-14	1907-02-01
1907-04-13	1907-03-01
1907-05-12	1907-04-01
1907-06-11	1907-05-01
1907-07-10	1907-06-01
1907-08-09	1907-07-01
1907-09-08	1907-08-01
1907-10-07	1907-09-01
1907-11-06	1907-10-01
1907-12-05	1907-11-01
1908-01-04	1907-12-01
1908-02-02	1908-01-01
1908-03-03	1908-02-01
1908-04-01	1908-03-01
1908-04-30	1908-04-01
