1645-01-28	1645-01-01
1645-02-26	1645-02-01
1645-03-28	1645-03-01
1645-04-26	1645-04-01
1645-05-25	1645-05-01
1645-06-24	1645-06-01
1645-07-23	1645-06'-01
1645-08-21	1645-07-01
1645-09-20	1645-08-01
1645-10-19	1645-09-01
1645-11-18	1645-10-01
1645-12-18	1645-11-01
1646-01-17	1645-12-01
1646-02-16	1646-01-01
1646-03-17	1646-02-01
1646-04-16	1646-03-01
1646-05-15	1646-04-01
1646-06-13	1646-05-01
1646-07-13	1646-06-01
1646-08-11	1646-07-01
1646-09-09	1646-08-01
1646-10-09	1646-09-01
1646-11-07	1646-10-01
1646-12-07	1646-11-01
1647-01-06	1646-12-01
1647-02-05	1647-01-01
1647-03-06	1647-02-01
1647-04-05	1647-03-01
1647-05-05	1647-04-01
1647-06-03	1647-05-01
1647-07-02	1647-06-01
1647-08-01	1647-07-01
1647-08-30	1647-08-01
1647-09-28	1647-09-01
1647-10-28	1647-10-01
1647-11-26	1647-11-01
1647-12-26	1647-12-01
1648-01-25	1648-01-01
1648-02-23	1648-02-01
1648-03-24	1648-03-01
1648-04-23	1648-04-01
1648-05-22	1648-04'-01
1648-06-21	1648-05-01
1648-07-20	1648-06-01
1648-08-19	1648-07-01
1648-09-17	1648-08-01
1648-10-16	1648-09-01
1648-11-15	1648-10-01
1648-12-14	1648-11-01
1649-01-13	1648-12-01
1649-02-11	1649-01-01
1649-03-13	1649-02-01
1649-04-12	1649-03-01
1649-05-11	1649-04-01
1649-06-10	1649-05-01
1649-07-10	1649-06-01
1649-08-08	1649-07-01
1649-09-07	1649-08-01
1649-10-06	1649-09-01
1649-11-04	1649-10-01
1649-12-04	1649-11-01
1650-01-02	1649-12-01
1650-02-01	1650-01-01
1650-03-02	1650-02-01
1650-04-01	1650-03-01
1650-05-01	1650-04-01
1650-05-30	1650-05-01
1650-06-29	1650-06-01
1650-07-28	1650-07-01
1650-08-27	1650-08-01
1650-09-26	1650-09-01
1650-10-25	1650-10-01
1650-11-23	1650-11-01
1650-12-23	1650-12-01
1651-01-21	1651-01-01
1651-02-20	1651-02-01
1651-03-21	1651-02'-01
1651-04-20	1651-03-01
1651-05-19	1651-04-01
1651-06-18	1651-05-01
1651-07-17	1651-06-01
1651-08-16	1651-07-01
1651-09-15	1651-08-01
1651-10-14	1651-09-01
1651-11-13	1651-10-01
1651-12-13	1651-11-01
1652-01-11	1651-12-01
1652-02-09	1652-01-01
1652-03-10	1652-02-01
1652-04-08	1652-03-01
1652-05-08	1652-04-01
1652-06-06	1652-05-01
1652-07-06	1652-06-01
1652-08-04	1652-07-01
1652-09-03	1652-08-01
1652-10-03	1652-09-01
1652-11-01	1652-10-01
1652-12-01	1652-11-01
1652-12-31	1652-12-01
1653-01-29	1653-01-01
1653-02-28	1653-02-01
1653-03-29	1653-03-01
1653-04-27	1653-04-01
1653-05-27	1653-05-01
1653-06-25	1653-06-01
1653-07-24	1653-06'-01
1653-08-23	1653-07-01
1653-09-22	1653-08-01
1653-10-21	1653-09-01
1653-11-20	1653-10-01
1653-12-20	1653-11-01
1654-01-18	1653-12-01
1654-02-17	1654-01-01
1654-03-19	1654-02-01
1654-04-17	1654-03-01
1654-05-16	1654-04-01
1654-06-15	1654-05-01
1654-07-14	1654-06-01
1654-08-12	1654-07-01
1654-09-11	1654-08-01
1654-10-10	1654-09-01
1654-11-09	1654-10-01
1654-12-09	1654-11-01
1655-01-08	1654-12-01
1655-02-06	1655-01-01
1655-03-08	1655-02-01
1655-04-07	1655-03-01
1655-05-06	1655-04-01
1655-06-04	1655-05-01
1655-07-04	1655-06-01
1655-08-02	1655-07-01
1655-08-31	1655-08-01
1655-09-30	1655-09-01
1655-10-29	1655-10-01
1655-11-28	1655-11-01
1655-12-28	1655-12-01
1656-01-26	1656-01-01
1656-02-25	1656-02-01
1656-03-26	1656-03-01
1656-04-24	1656-04-01
1656-05-24	1656-05-01
1656-06-22	1656-05'-01
1656-07-22	1656-06-01
1656-08-20	1656-07-01
1656-09-18	1656-08-01
1656-10-18	1656-09-01
