-0001-01-04	-0002-12-01
-0001-02-03	-0001-01-01
-0001-03-05	-0001-02-01
-0001-04-03	-0001-03-01
-0001-05-03	-0001-04-01
-0001-06-01	-0001-05-01
-0001-07-01	-0001-06-01
-0001-07-30	-0001-07-01
-0001-08-29	-0001-08-01
-0001-09-27	-0001-09-01
-0001-10-27	-0001-10-01
-0001-11-25	-0001-11-01
-0001-12-25	-0001-11'-01
-0002-01-15	-0003-12-01
-0002-02-14	-0002-01-01
-0002-03-15	-0002-02-01
-0002-04-14	-0002-03-01
-0002-05-13	-0002-04-01
-0002-06-12	-0002-05-01
-0002-07-11	-0002-06-01
-0002-08-10	-0002-07-01
-0002-09-08	-0002-08-01
-0002-10-08	-0002-09-01
-0002-11-06	-0002-10-01
-0002-12-06	-0002-11-01
-0003-01-26	-0003-01-01
-0003-02-24	-0003-02-01
-0003-03-26	-0003-03-01
-0003-04-24	-0003-03'-01
-0003-05-24	-0003-04-01
-0003-06-22	-0003-05-01
-0003-07-22	-0003-06-01
-0003-08-20	-0003-07-01
-0003-09-19	-0003-08-01
-0003-10-18	-0003-09-01
-0003-11-17	-0003-10-01
-0003-12-17	-0003-11-01
-0004-01-08	-0005-12-01
-0004-02-06	-0004-01-01
-0004-03-07	-0004-02-01
-0004-04-05	-0004-03-01
-0004-05-05	-0004-04-01
-0004-06-03	-0004-05-01
-0004-07-03	-0004-06-01
-0004-08-02	-0004-07-01
-0004-08-31	-0004-08-01
-0004-09-30	-0004-09-01
-0004-10-29	-0004-10-01
-0004-11-28	-0004-11-01
-0004-12-27	-0004-12-01
-0005-01-18	-0006-12-01
-0005-02-17	-0005-01-01
-0005-03-19	-0005-02-01
-0005-04-17	-0005-03-01
-0005-05-17	-0005-04-01
-0005-06-15	-0005-05-01
-0005-07-15	-0005-06-01
-0005-08-13	-0005-07-01
-0005-09-12	-0005-08-01
-0005-10-11	-0005-09-01
-0005-11-10	-0005-10-01
-0005-12-09	-0005-11-01
-0006-01-29	-0006-01-01
-0006-02-28	-0006-02-01
-0006-03-29	-0006-03-01
-0006-04-28	-0006-04-01
-0006-05-27	-0006-05-01
-0006-06-26	-0006-06-01
-0006-07-25	-0006-07-01
-0006-08-24	-0006-07'-01
-0006-09-22	-0006-08-01
-0006-10-22	-0006-09-01
-0006-11-20	-0006-10-01
-0006-12-20	-0006-11-01
-0007-01-10	-0008-12-01
-0007-02-09	-0007-01-01
-0007-03-10	-0007-02-01
-0007-04-09	-0007-03-01
-0007-05-08	-0007-04-01
-0007-06-07	-0007-05-01
-0007-07-06	-0007-06-01
-0007-08-05	-0007-07-01
-0007-09-03	-0007-08-01
-0007-10-03	-0007-09-01
-0007-11-01	-0007-10-01
-0007-12-01	-0007-11-01
-0007-12-31	-0007-12-01
-0008-01-22	-0009-12-01
-0008-02-20	-0008-01-01
-0008-03-21	-0008-02-01
-0008-04-19	-0008-03-01
-0008-05-19	-0008-04-01
-0008-06-17	-0008-05-01
-0008-07-17	-0008-06-01
-0008-08-16	-0008-07-01
-0008-09-14	-0008-08-01
-0008-10-14	-0008-09-01
-0008-11-12	-0008-10-01
-0008-12-12	-0008-11-01
-0009-01-03	-0010-12-01
-0009-02-01	-0009-01-01
-0009-03-03	-0009-02-01
-0009-04-01	-0009-03-01
-0009-05-01	-0009-04-01
-0009-05-31	-0009-05-01
-0009-06-29	-0009-06-01
-0009-07-29	-0009-07-01
-0009-08-27	-0009-08-01
-0009-09-26	-0009-09-01
-0009-10-25	-0009-10-01
-0009-11-24	-0009-10'-01
-0009-12-23	-0009-11-01
-0010-01-14	-0011-12-01
-0010-02-12	-0010-01-01
-0010-03-14	-0010-02-01
-0010-04-12	-0010-03-01
-0010-05-12	-0010-04-01
-0010-06-10	-0010-05-01
-0010-07-10	-0010-06-01
-0010-08-08	-0010-07-01
-0010-09-07	-0010-08-01
-0010-10-06	-0010-09-01
-0010-11-05	-0010-10-01
-0010-12-04	-0010-11-01
-0011-01-24	-0011-01-01
-0011-02-23	-0011-01'-01
-0011-03-24	-0011-02-01
-0011-04-23	-0011-03-01
-0011-05-22	-0011-04-01
-0011-06-21	-0011-05-01
-0011-07-20	-0011-06-01
-0011-08-19	-0011-07-01
-0011-09-17	-0011-08-01
-0011-10-17	-0011-09-01
-0011-11-15	-0011-10-01
-0011-12-15	-0011-11-01
-0012-01-06	-0013-12-01
-0012-02-05	-0012-01-01
-0012-03-05	-0012-02-01
-0012-04-04	-0012-03-01
-0012-05-03	-0012-04-01
-0012-06-02	-0012-05-01
-0012-07-01	-0012-06-01
-0012-07-31	-0012-07-01
-0012-08-30	-0012-08-01
-0012-09-28	-0012-09-01
-0012-10-28	-0012-10-01
-0012-11-26	-0012-11-01
-0012-12-26	-0012-12-01
-0013-01-17	-0014-12-01
-0013-02-15	-0013-01-01
-0013-03-17	-0013-02-01
-0013-04-15	-0013-03-01
-0013-05-15	-0013-04-01
-0013-06-14	-0013-05-01
-0013-07-13	-0013-06-01
-0013-08-12	-0013-07-01
-0013-09-10	-0013-08-01
-0013-10-10	-0013-09-01
-0013-11-08	-0013-10-01
-0013-12-08	-0013-11-01
-0014-01-28	-0014-01-01
-0014-02-26	-0014-02-01
-0014-03-28	-0014-03-01
-0014-04-26	-0014-04-01
-0014-05-26	-0014-05-01
-0014-06-24	-0014-05'-01
-0014-07-24	-0014-06-01
-0014-08-22	-0014-07-01
-0014-09-21	-0014-08-01
-0014-10-20	-0014-09-01
-0014-11-19	-0014-10-01
-0014-12-18	-0014-11-01
-0015-01-09	-0016-12-01
-0015-02-07	-0015-01-01
-0015-03-09	-0015-02-01
-0015-04-07	-0015-03-01
-0015-05-07	-0015-04-01
-0015-06-05	-0015-05-01
-0015-07-05	-0015-06-01
-0015-08-03	-0015-07-01
-0015-09-02	-0015-08-01
-0015-10-01	-0015-09-01
-0015-10-31	-0015-10-01
-0015-11-29	-0015-11-01
-0015-12-29	-0015-12-01
-0016-01-20	-0017-12-01
-0016-02-19	-0016-01-01
-0016-03-19	-0016-02-01
-0016-04-18	-0016-03-01
-0016-05-17	-0016-04-01
-0016-06-16	-0016-05-01
-0016-07-15	-0016-06-01
-0016-08-14	-0016-07-01
-0016-09-12	-0016-08-01
-0016-10-12	-0016-09-01
-0016-11-11	-0016-10-01
-0016-12-10	-0016-11-01
-0017-01-01	-0018-12-01
-0017-01-31	-0017-01-01
-0017-03-01	-0017-02-01
-0017-03-31	-0017-03-01
-0017-04-29	-0017-04-01
-0017-05-29	-0017-05-01
-0017-06-28	-0017-06-01
-0017-07-27	-0017-07-01
-0017-08-26	-0017-08-01
-0017-09-24	-0017-09-01
-0017-10-24	-0017-09'-01
-0017-11-22	-0017-10-01
-0017-12-22	-0017-11-01
-0018-01-12	-0019-12-01
-0018-02-11	-0018-01-01
-0018-03-12	-0018-02-01
-0018-04-11	-0018-03-01
-0018-05-10	-0018-04-01
-0018-06-09	-0018-05-01
-0018-07-08	-0018-06-01
-0018-08-07	-0018-07-01
-0018-09-05	-0018-08-01
-0018-10-05	-0018-09-01
-0018-11-03	-0018-10-01
-0018-12-03	-0018-11-01
-0019-01-23	-0020-12'-01
