0949-02-06	0949-01-01
0949-03-08	0949-02-01
0949-04-06	0949-03-01
0949-05-06	0949-04-01
0949-06-05	0949-05-01
0949-07-04	0949-06-01
0949-08-02	0949-07-01
0949-09-01	0949-08-01
0949-09-30	0949-09-01
0949-10-29	0949-10-01
0949-11-28	0949-11-01
0949-12-28	0949-12-01
0950-01-26	0950-01-01
0950-02-25	0950-02-01
0950-03-26	0950-03-01
0950-04-25	0950-04-01
0950-05-25	0950-05-01
0950-06-23	0950-05'-01
0950-07-23	0950-06-01
0950-08-21	0950-07-01
0950-09-20	0950-08-01
0950-10-19	0950-09-01
0950-11-18	0950-10-01
0950-12-17	0950-11-01
0951-01-16	0950-12-01
0951-02-14	0951-01-01
0951-03-16	0951-02-01
0951-04-14	0951-03-01
0951-05-14	0951-04-01
0951-06-13	0951-05-01
0951-07-12	0951-06-01
0951-08-11	0951-07-01
0951-09-09	0951-08-01
0951-10-09	0951-09-01
0951-11-07	0951-10-01
0951-12-07	0951-11-01
0952-01-05	0951-12-01
0952-02-04	0952-01-01
0952-03-04	0952-02-01
0952-04-03	0952-03-01
0952-05-02	0952-04-01
0952-06-01	0952-05-01
0952-06-30	0952-06-01
0952-07-30	0952-07-01
0952-08-28	0952-08-01
0952-09-27	0952-09-01
0952-10-27	0952-10-01
0952-11-25	0952-11-01
0952-12-25	0952-12-01
0953-01-23	0953-01-01
0953-02-22	0953-01'-01
0953-03-23	0953-02-01
0953-04-21	0953-03-01
0953-05-21	0953-04-01
0953-06-19	0953-05-01
0953-07-19	0953-06-01
0953-08-17	0953-07-01
0953-09-16	0953-08-01
0953-10-16	0953-09-01
0953-11-15	0953-10-01
0953-12-14	0953-11-01
0954-01-13	0953-12-01
0954-02-11	0954-01-01
0954-03-13	0954-02-01
0954-04-11	0954-03-01
0954-05-10	0954-04-01
0954-06-09	0954-05-01
0954-07-08	0954-06-01
0954-08-07	0954-07-01
0954-09-05	0954-08-01
0954-10-05	0954-09-01
0954-11-04	0954-10-01
0954-12-03	0954-11-01
0955-01-02	0954-12-01
0955-02-01	0955-01-01
0955-03-02	0955-02-01
0955-04-01	0955-03-01
0955-04-30	0955-04-01
0955-05-29	0955-05-01
0955-06-28	0955-06-01
0955-07-27	0955-07-01
0955-08-26	0955-08-01
0955-09-24	0955-09-01
0955-10-24	0955-09'-01
0955-11-22	0955-10-01
0955-12-22	0955-11-01
0956-01-21	0955-12-01
0956-02-20	0956-01-01
0956-03-20	0956-02-01
0956-04-19	0956-03-01
0956-05-18	0956-04-01
0956-06-16	0956-05-01
0956-07-16	0956-06-01
0956-08-14	0956-07-01
0956-09-12	0956-08-01
0956-10-12	0956-09-01
0956-11-11	0956-10-01
0956-12-10	0956-11-01
0957-01-09	0956-12-01
0957-02-08	0957-01-01
0957-03-10	0957-02-01
0957-04-08	0957-03-01
0957-05-08	0957-04-01
0957-06-06	0957-05-01
0957-07-05	0957-06-01
0957-08-04	0957-07-01
0957-09-02	0957-08-01
0957-10-01	0957-09-01
0957-10-31	0957-10-01
0957-11-29	0957-11-01
0957-12-29	0957-12-01
0958-01-28	0958-01-01
0958-02-27	0958-02-01
0958-03-28	0958-03-01
0958-04-27	0958-04-01
0958-05-26	0958-05-01
0958-06-25	0958-06-01
0958-07-24	0958-07-01
0958-08-23	0958-07'-01
0958-09-21	0958-08-01
0958-10-21	0958-09-01
0958-11-19	0958-10-01
0958-12-18	0958-11-01
0959-01-17	0958-12-01
0959-02-16	0959-01-01
0959-03-17	0959-02-01
0959-04-16	0959-03-01
0959-05-16	0959-04-01
0959-06-14	0959-05-01
0959-07-14	0959-06-01
0959-08-12	0959-07-01
0959-09-11	0959-08-01
0959-10-10	0959-09-01
0959-11-09	0959-10-01
0959-12-08	0959-11-01
0960-01-07	0959-12-01
0960-02-05	0960-01-01
0960-03-06	0960-02-01
0960-04-04	0960-03-01
0960-05-04	0960-04-01
0960-06-02	0960-05-01
0960-07-02	0960-06-01
0960-08-01	0960-07-01
0960-08-30	0960-08-01
0960-09-29	0960-09-01
0960-10-28	0960-10-01
0960-11-27	0960-11-01
0960-12-26	0960-12-01
0961-01-25	0961-01-01
0961-02-23	0961-02-01
0961-03-25	0961-03-01
0961-04-23	0961-03'-01
0961-05-22	0961-04-01
0961-06-21	0961-05-01
0961-07-21	0961-06-01
0961-08-19	0961-07-01
0961-09-18	0961-08-01
0961-10-18	0961-09-01
0961-11-16	0961-10-01
0961-12-16	0961-11-01
0962-01-14	0961-12-01
0962-02-13	0962-01-01
0962-03-14	0962-02-01
0962-04-12	0962-03-01
0962-05-12	0962-04-01
0962-06-10	0962-05-01
0962-07-10	0962-06-01
0962-08-08	0962-07-01
0962-09-07	0962-08-01
0962-10-07	0962-09-01
0962-11-05	0962-10-01
0962-12-05	0962-11-01
0963-01-04	0962-12-01
0963-02-02	0963-01-01
0963-03-04	0963-02-01
0963-04-02	0963-03-01
0963-05-01	0963-04-01
0963-05-31	0963-05-01
0963-06-29	0963-06-01
0963-07-29	0963-07-01
0963-08-27	0963-08-01
0963-09-26	0963-09-01
0963-10-25	0963-10-01
0963-11-24	0963-11-01
0963-12-24	0963-12-01
0964-01-23	0963-12'-01
0964-02-21	0964-01-01
0964-03-22	0964-02-01
0964-04-20	0964-03-01
0964-05-20	0964-04-01
0964-06-18	0964-05-01
0964-07-17	0964-06-01
0964-08-15	0964-07-01
0964-09-14	0964-08-01
0964-10-14	0964-09-01
0964-11-12	0964-10-01
0964-12-12	0964-11-01
0965-01-11	0964-12-01
0965-02-10	0965-01-01
0965-03-11	0965-02-01
0965-04-10	0965-03-01
0965-05-09	0965-04-01
0965-06-08	0965-05-01
0965-07-07	0965-06-01
0965-08-05	0965-07-01
0965-09-03	0965-08-01
0965-10-03	0965-09-01
0965-11-01	0965-10-01
0965-12-01	0965-11-01
0965-12-31	0965-12-01
0966-01-30	0966-01-01
0966-02-28	0966-02-01
0966-03-30	0966-03-01
0966-04-29	0966-04-01
0966-05-28	0966-05-01
0966-06-26	0966-06-01
0966-07-26	0966-07-01
0966-08-24	0966-08-01
0966-09-22	0966-08'-01
0966-10-22	0966-09-01
0966-11-20	0966-10-01
0966-12-20	0966-11-01
0967-01-19	0966-12-01
0967-02-17	0967-01-01
0967-03-19	0967-02-01
0967-04-18	0967-03-01
0967-05-17	0967-04-01
0967-06-16	0967-05-01
0967-07-15	0967-06-01
0967-08-14	0967-07-01
0967-09-12	0967-08-01
0967-10-11	0967-09-01
0967-11-10	0967-10-01
0967-12-09	0967-11-01
0968-01-08	0967-12-01
0968-02-07	0968-01-01
0968-03-07	0968-02-01
0968-04-06	0968-03-01
0968-05-05	0968-04-01
0968-06-04	0968-05-01
0968-07-04	0968-06-01
0968-08-02	0968-07-01
0968-09-01	0968-08-01
0968-09-30	0968-09-01
0968-10-30	0968-10-01
0968-11-28	0968-11-01
0968-12-27	0968-12-01
0969-01-26	0969-01-01
0969-02-24	0969-02-01
0969-03-26	0969-03-01
0969-04-25	0969-04-01
0969-05-24	0969-05-01
0969-06-23	0969-05'-01
0969-07-22	0969-06-01
0969-08-21	0969-07-01
0969-09-20	0969-08-01
0969-10-19	0969-09-01
0969-11-18	0969-10-01
0969-12-17	0969-11-01
