0445-01-25	0445-01-01
0445-02-24	0445-02-01
0445-03-25	0445-03-01
0445-04-24	0445-04-01
0445-05-23	0445-05-01
0445-06-22	0445-05'-01
0445-07-21	0445-06-01
0445-08-20	0445-07-01
0445-09-18	0445-08-01
0445-10-18	0445-09-01
0445-11-16	0445-10-01
0445-12-16	0445-11-01
0446-01-14	0445-12-01
0446-02-13	0446-01-01
0446-03-15	0446-02-01
0446-04-13	0446-03-01
0446-05-13	0446-04-01
0446-06-11	0446-05-01
0446-07-11	0446-06-01
0446-08-09	0446-07-01
0446-09-08	0446-08-01
0446-10-07	0446-09-01
0446-11-06	0446-10-01
0446-12-05	0446-11-01
0447-01-04	0446-12-01
0447-02-02	0447-01-01
0447-03-04	0447-02-01
0447-04-02	0447-03-01
0447-05-02	0447-04-01
0447-06-01	0447-05-01
0447-06-30	0447-06-01
0447-07-30	0447-07-01
0447-08-28	0447-08-01
0447-09-27	0447-09-01
0447-10-26	0447-10-01
0447-11-25	0447-11-01
0447-12-24	0447-12-01
0448-01-23	0448-01-01
0448-02-21	0448-02-01
0448-03-22	0448-02'-01
0448-04-20	0448-03-01
0448-05-20	0448-04-01
0448-06-18	0448-05-01
0448-07-18	0448-06-01
0448-08-16	0448-07-01
0448-09-15	0448-08-01
0448-10-15	0448-09-01
0448-11-13	0448-10-01
0448-12-13	0448-11-01
0449-01-11	0448-12-01
0449-02-10	0449-01-01
0449-03-11	0449-02-01
0449-04-10	0449-03-01
0449-05-09	0449-04-01
0449-06-08	0449-05-01
0449-07-07	0449-06-01
0449-08-06	0449-07-01
0449-09-04	0449-08-01
0449-10-04	0449-09-01
0449-11-02	0449-10-01
0449-12-02	0449-11-01
0449-12-31	0449-12-01
0450-01-30	0450-01-01
0450-03-01	0450-02-01
0450-03-30	0450-03-01
0450-04-29	0450-04-01
0450-05-28	0450-05-01
0450-06-27	0450-06-01
0450-07-26	0450-07-01
0450-08-25	0450-08-01
0450-09-23	0450-09-01
0450-10-23	0450-10-01
0450-11-21	0450-10'-01
0450-12-21	0450-11-01
0451-01-19	0450-12-01
0451-02-18	0451-01-01
0451-03-19	0451-02-01
0451-04-18	0451-03-01
0451-05-18	0451-04-01
0451-06-16	0451-05-01
0451-07-16	0451-06-01
0451-08-14	0451-07-01
0451-09-13	0451-08-01
0451-10-12	0451-09-01
0451-11-11	0451-10-01
0451-12-10	0451-11-01
0452-01-09	0451-12-01
0452-02-07	0452-01-01
0452-03-08	0452-02-01
0452-04-06	0452-03-01
0452-05-06	0452-04-01
0452-06-04	0452-05-01
0452-07-04	0452-06-01
0452-08-02	0452-07-01
0452-09-01	0452-08-01
0452-10-01	0452-09-01
0452-10-30	0452-10-01
0452-11-29	0452-11-01
0452-12-28	0452-12-01
0453-01-27	0453-01-01
0453-02-25	0453-02-01
0453-03-27	0453-03-01
0453-04-25	0453-04-01
0453-05-25	0453-05-01
0453-06-23	0453-06-01
0453-07-23	0453-06'-01
0453-08-21	0453-07-01
0453-09-20	0453-08-01
0453-10-19	0453-09-01
0453-11-18	0453-10-01
0453-12-17	0453-11-01
0454-01-16	0453-12-01
0454-02-15	0454-01-01
0454-03-16	0454-02-01
0454-04-15	0454-03-01
0454-05-14	0454-04-01
0454-06-13	0454-05-01
0454-07-12	0454-06-01
0454-08-11	0454-07-01
0454-09-09	0454-08-01
0454-10-09	0454-09-01
0454-11-07	0454-10-01
0454-12-07	0454-11-01
0455-01-05	0454-12-01
0455-02-04	0455-01-01
0455-03-05	0455-02-01
0455-04-04	0455-03-01
0455-05-04	0455-04-01
0455-06-02	0455-05-01
0455-07-02	0455-06-01
0455-07-31	0455-07-01
0455-08-30	0455-08-01
0455-09-28	0455-09-01
0455-10-28	0455-10-01
0455-11-26	0455-11-01
0455-12-26	0455-12-01
0456-01-24	0456-01-01
0456-02-23	0456-02-01
0456-03-23	0456-03-01
0456-04-22	0456-03'-01
0456-05-21	0456-04-01
0456-06-20	0456-05-01
0456-07-19	0456-06-01
0456-08-18	0456-07-01
0456-09-17	0456-08-01
0456-10-16	0456-09-01
0456-11-15	0456-10-01
0456-12-14	0456-11-01
0457-01-13	0456-12-01
0457-02-11	0457-01-01
0457-03-13	0457-02-01
0457-04-11	0457-03-01
0457-05-11	0457-04-01
0457-06-09	0457-05-01
0457-07-09	0457-06-01
0457-08-07	0457-07-01
0457-09-06	0457-08-01
0457-10-05	0457-09-01
0457-11-04	0457-10-01
0457-12-03	0457-11-01
0458-01-02	0457-12-01
0458-02-01	0458-01-01
0458-03-02	0458-02-01
0458-04-01	0458-03-01
0458-04-30	0458-04-01
0458-05-30	0458-05-01
0458-06-28	0458-06-01
0458-07-28	0458-07-01
0458-08-26	0458-08-01
0458-09-25	0458-09-01
0458-10-24	0458-10-01
0458-11-23	0458-11-01
0458-12-22	0458-12-01
0459-01-21	0458-12'-01
0459-02-19	0459-01-01
0459-03-21	0459-02-01
0459-04-19	0459-03-01
0459-05-19	0459-04-01
0459-06-18	0459-05-01
0459-07-17	0459-06-01
0459-08-16	0459-07-01
0459-09-14	0459-08-01
0459-10-14	0459-09-01
0459-11-12	0459-10-01
0459-12-12	0459-11-01
0460-01-10	0459-12-01
0460-02-09	0460-01-01
0460-03-09	0460-02-01
0460-04-08	0460-03-01
0460-05-07	0460-04-01
0460-06-06	0460-05-01
0460-07-05	0460-06-01
0460-08-04	0460-07-01
0460-09-03	0460-08-01
0460-10-02	0460-09-01
0460-11-01	0460-10-01
0460-11-30	0460-11-01
0460-12-30	0460-12-01
0461-01-28	0461-01-01
0461-02-27	0461-02-01
0461-03-28	0461-03-01
0461-04-27	0461-04-01
0461-05-26	0461-05-01
0461-06-25	0461-06-01
0461-07-24	0461-07-01
0461-08-23	0461-08-01
0461-09-21	0461-09-01
0461-10-21	0461-09'-01
0461-11-19	0461-10-01
0461-12-19	0461-11-01
0462-01-18	0461-12-01
0462-02-16	0462-01-01
0462-03-18	0462-02-01
0462-04-16	0462-03-01
0462-05-16	0462-04-01
0462-06-14	0462-05-01
0462-07-14	0462-06-01
0462-08-12	0462-07-01
0462-09-11	0462-08-01
0462-10-10	0462-09-01
0462-11-09	0462-10-01
0462-12-08	0462-11-01
0463-01-07	0462-12-01
0463-02-05	0463-01-01
0463-03-07	0463-02-01
0463-04-05	0463-03-01
0463-05-05	0463-04-01
0463-06-04	0463-05-01
0463-07-03	0463-06-01
0463-08-02	0463-07-01
0463-08-31	0463-08-01
0463-09-30	0463-09-01
0463-10-29	0463-10-01
0463-11-28	0463-11-01
0463-12-27	0463-12-01
0464-01-26	0464-01-01
0464-02-24	0464-02-01
0464-03-25	0464-03-01
0464-04-23	0464-04-01
0464-05-23	0464-05-01
0464-06-21	0464-05'-01
0464-07-21	0464-06-01
0464-08-20	0464-07-01
0464-09-18	0464-08-01
0464-10-18	0464-09-01
0464-11-16	0464-10-01
0464-12-16	0464-11-01
0465-01-14	0464-12-01
0465-02-13	0465-01-01
0465-03-14	0465-02-01
0465-04-13	0465-03-01
0465-05-12	0465-04-01
0465-06-11	0465-05-01
0465-07-10	0465-06-01
0465-08-09	0465-07-01
0465-09-07	0465-08-01
0465-10-07	0465-09-01
0465-11-05	0465-10-01
0465-12-05	0465-11-01
0466-01-04	0465-12-01
0466-02-02	0466-01-01
0466-03-04	0466-02-01
0466-04-02	0466-03-01
0466-05-02	0466-04-01
0466-05-31	0466-05-01
0466-06-30	0466-06-01
0466-07-29	0466-07-01
0466-08-28	0466-08-01
0466-09-26	0466-09-01
0466-10-26	0466-10-01
0466-11-24	0466-11-01
0466-12-24	0466-12-01
0467-01-22	0467-01-01
0467-02-21	0467-01'-01
0467-03-22	0467-02-01
0467-04-21	0467-03-01
0467-05-21	0467-04-01
0467-06-19	0467-05-01
0467-07-19	0467-06-01
0467-08-17	0467-07-01
0467-09-16	0467-08-01
0467-10-15	0467-09-01
0467-11-14	0467-10-01
0467-12-13	0467-11-01
0468-01-12	0467-12-01
0468-02-10	0468-01-01
0468-03-11	0468-02-01
0468-04-09	0468-03-01
0468-05-09	0468-04-01
0468-06-07	0468-05-01
0468-07-07	0468-06-01
0468-08-06	0468-07-01
0468-09-04	0468-08-01
0468-10-04	0468-09-01
0468-11-02	0468-10-01
0468-12-02	0468-11-01
0468-12-31	0468-12-01
0469-01-30	0469-01-01
0469-02-28	0469-02-01
