0540-01-27	0540-01-01
0540-02-25	0540-02-01
0540-03-26	0540-03-01
0540-04-24	0540-04-01
0540-05-24	0540-05-01
0540-06-22	0540-05'-01
0540-07-22	0540-06-01
0540-08-20	0540-07-01
0540-09-19	0540-08-01
0540-10-18	0540-09-01
0540-11-17	0540-10-01
0540-12-16	0540-11-01
0541-01-15	0540-12-01
0541-02-13	0541-01-01
0541-03-15	0541-02-01
0541-04-14	0541-03-01
0541-05-13	0541-04-01
0541-06-12	0541-05-01
0541-07-11	0541-06-01
0541-08-10	0541-07-01
0541-09-08	0541-08-01
0541-10-08	0541-09-01
0541-11-06	0541-10-01
0541-12-06	0541-11-01
0542-01-04	0541-12-01
0542-02-03	0542-01-01
0542-03-04	0542-02-01
0542-04-03	0542-03-01
0542-05-02	0542-04-01
0542-06-01	0542-05-01
0542-06-30	0542-06-01
0542-07-30	0542-07-01
0542-08-29	0542-08-01
0542-09-27	0542-09-01
0542-10-27	0542-10-01
0542-11-25	0542-11-01
0542-12-25	0542-12-01
0543-01-23	0543-01-01
0543-02-22	0543-01'-01
0543-03-23	0543-02-01
0543-04-22	0543-03-01
0543-05-21	0543-04-01
0543-06-20	0543-05-01
0543-07-19	0543-06-01
0543-08-18	0543-07-01
0543-09-16	0543-08-01
0543-10-16	0543-09-01
0543-11-15	0543-10-01
0543-12-14	0543-11-01
0544-01-13	0543-12-01
0544-02-11	0544-01-01
0544-03-12	0544-02-01
0544-04-10	0544-03-01
0544-05-10	0544-04-01
0544-06-08	0544-05-01
0544-07-08	0544-06-01
0544-08-06	0544-07-01
0544-09-05	0544-08-01
0544-10-04	0544-09-01
0544-11-03	0544-10-01
0544-12-02	0544-11-01
0545-01-01	0544-12-01
0545-01-30	0545-01-01
0545-03-01	0545-02-01
0545-03-31	0545-03-01
0545-04-29	0545-04-01
0545-05-29	0545-05-01
0545-06-27	0545-06-01
0545-07-27	0545-07-01
0545-08-25	0545-08-01
0545-09-24	0545-09-01
0545-10-23	0545-10-01
0545-11-22	0545-10'-01
0545-12-21	0545-11-01
0546-01-20	0545-12-01
0546-02-18	0546-01-01
0546-03-20	0546-02-01
0546-04-18	0546-03-01
0546-05-18	0546-04-01
0546-06-16	0546-05-01
0546-07-16	0546-06-01
0546-08-15	0546-07-01
0546-09-13	0546-08-01
0546-10-13	0546-09-01
0546-11-11	0546-10-01
0546-12-11	0546-11-01
0547-01-09	0546-12-01
0547-02-08	0547-01-01
0547-03-09	0547-02-01
0547-04-08	0547-03-01
0547-05-07	0547-04-01
0547-06-06	0547-05-01
0547-07-05	0547-06-01
0547-08-04	0547-07-01
0547-09-02	0547-08-01
0547-10-02	0547-09-01
0547-11-01	0547-10-01
0547-11-30	0547-11-01
0547-12-30	0547-12-01
0548-01-28	0548-01-01
0548-02-27	0548-02-01
0548-03-27	0548-03-01
0548-04-26	0548-04-01
0548-05-25	0548-05-01
0548-06-24	0548-06-01
0548-07-23	0548-07-01
0548-08-22	0548-07'-01
0548-09-20	0548-08-01
0548-10-20	0548-09-01
0548-11-18	0548-10-01
0548-12-18	0548-11-01
0549-01-16	0548-12-01
0549-02-15	0549-01-01
0549-03-17	0549-02-01
0549-04-15	0549-03-01
0549-05-15	0549-04-01
0549-06-13	0549-05-01
0549-07-13	0549-06-01
0549-08-11	0549-07-01
0549-09-10	0549-08-01
0549-10-09	0549-09-01
0549-11-08	0549-10-01
0549-12-07	0549-11-01
0550-01-06	0549-12-01
0550-02-04	0550-01-01
0550-03-06	0550-02-01
0550-04-04	0550-03-01
0550-05-04	0550-04-01
0550-06-02	0550-05-01
0550-07-02	0550-06-01
0550-08-01	0550-07-01
0550-08-30	0550-08-01
0550-09-29	0550-09-01
0550-10-28	0550-10-01
0550-11-27	0550-11-01
0550-12-26	0550-12-01
0551-01-25	0551-01-01
0551-02-23	0551-02-01
0551-03-25	0551-02'-01
0551-04-23	0551-03-01
0551-05-23	0551-04-01
0551-06-21	0551-05-01
0551-07-21	0551-06-01
0551-08-19	0551-07-01
0551-09-18	0551-08-01
0551-10-17	0551-09-01
0551-11-16	0551-10-01
0551-12-16	0551-11-01
0552-01-14	0551-12-01
0552-02-13	0552-01-01
0552-03-13	0552-02-01
0552-04-12	0552-03-01
0552-05-11	0552-04-01
0552-06-10	0552-05-01
0552-07-09	0552-06-01
0552-08-08	0552-07-01
0552-09-06	0552-08-01
0552-10-06	0552-09-01
0552-11-04	0552-10-01
0552-12-04	0552-11-01
0553-01-02	0552-12-01
0553-02-01	0553-01-01
0553-03-03	0553-02-01
0553-04-01	0553-03-01
0553-05-01	0553-04-01
0553-05-30	0553-05-01
0553-06-29	0553-06-01
0553-07-28	0553-07-01
0553-08-27	0553-08-01
0553-09-25	0553-09-01
0553-10-25	0553-10-01
0553-11-23	0553-11-01
0553-12-23	0553-11'-01
0554-01-21	0553-12-01
0554-02-20	0554-01-01
0554-03-21	0554-02-01
0554-04-20	0554-03-01
0554-05-19	0554-04-01
0554-06-18	0554-05-01
0554-07-18	0554-06-01
0554-08-16	0554-07-01
0554-09-15	0554-08-01
0554-10-14	0554-09-01
0554-11-13	0554-10-01
0554-12-12	0554-11-01
0555-01-11	0554-12-01
0555-02-09	0555-01-01
0555-03-11	0555-02-01
0555-04-09	0555-03-01
0555-05-09	0555-04-01
0555-06-07	0555-05-01
0555-07-07	0555-06-01
0555-08-05	0555-07-01
0555-09-04	0555-08-01
0555-10-03	0555-09-01
0555-11-02	0555-10-01
0555-12-02	0555-11-01
0555-12-31	0555-12-01
0556-01-30	0556-01-01
0556-02-28	0556-02-01
0556-03-29	0556-03-01
0556-04-27	0556-04-01
0556-05-27	0556-05-01
0556-06-25	0556-06-01
0556-07-25	0556-07-01
0556-08-23	0556-08-01
0556-09-22	0556-08'-01
0556-10-21	0556-09-01
0556-11-20	0556-10-01
0556-12-19	0556-11-01
0557-01-18	0556-12-01
0557-02-17	0557-01-01
0557-03-18	0557-02-01
0557-04-17	0557-03-01
0557-05-16	0557-04-01
0557-06-15	0557-05-01
0557-07-14	0557-06-01
0557-08-13	0557-07-01
0557-09-11	0557-08-01
0557-10-11	0557-09-01
0557-11-09	0557-10-01
0557-12-09	0557-11-01
0558-01-07	0557-12-01
0558-02-06	0558-01-01
0558-03-07	0558-02-01
0558-04-06	0558-03-01
0558-05-05	0558-04-01
0558-06-04	0558-05-01
0558-07-04	0558-06-01
0558-08-02	0558-07-01
0558-09-01	0558-08-01
0558-09-30	0558-09-01
0558-10-30	0558-10-01
0558-11-28	0558-11-01
0558-12-28	0558-12-01
0559-01-26	0559-01-01
0559-02-25	0559-02-01
0559-03-26	0559-03-01
0559-04-25	0559-04-01
0559-05-24	0559-04'-01
0559-06-23	0559-05-01
0559-07-22	0559-06-01
0559-08-21	0559-07-01
0559-09-19	0559-08-01
0559-10-19	0559-09-01
0559-11-18	0559-10-01
0559-12-17	0559-11-01
0560-01-16	0559-12-01
0560-02-14	0560-01-01
0560-03-15	0560-02-01
0560-04-13	0560-03-01
0560-05-13	0560-04-01
0560-06-11	0560-05-01
0560-07-11	0560-06-01
0560-08-09	0560-07-01
0560-09-08	0560-08-01
0560-10-07	0560-09-01
0560-11-06	0560-10-01
0560-12-05	0560-11-01
0561-01-04	0560-12-01
0561-02-03	0561-01-01
0561-03-04	0561-02-01
0561-04-03	0561-03-01
0561-05-02	0561-04-01
0561-06-01	0561-05-01
0561-06-30	0561-06-01
0561-07-30	0561-07-01
0561-08-28	0561-08-01
0561-09-27	0561-09-01
0561-10-26	0561-10-01
0561-11-25	0561-11-01
0561-12-24	0561-12-01
0562-01-23	0561-12'-01
0562-02-21	0562-01-01
0562-03-23	0562-02-01
0562-04-21	0562-03-01
0562-05-21	0562-04-01
0562-06-20	0562-05-01
0562-07-19	0562-06-01
0562-08-18	0562-07-01
0562-09-16	0562-08-01
0562-10-16	0562-09-01
0562-11-14	0562-10-01
0562-12-14	0562-11-01
0563-01-12	0562-12-01
0563-02-11	0563-01-01
0563-03-12	0563-02-01
0563-04-11	0563-03-01
0563-05-10	0563-04-01
0563-06-09	0563-05-01
0563-07-08	0563-06-01
0563-08-07	0563-07-01
0563-09-05	0563-08-01
0563-10-05	0563-09-01
0563-11-04	0563-10-01
0563-12-03	0563-11-01
0564-01-02	0563-12-01
0564-01-31	0564-01-01
0564-03-01	0564-02-01
0564-03-30	0564-03-01
0564-04-29	0564-04-01
0564-05-28	0564-05-01
0564-06-27	0564-06-01
0564-07-26	0564-07-01
0564-08-25	0564-08-01
0564-09-23	0564-09-01
0564-10-23	0564-10-01
0564-11-21	0564-10'-01
0564-12-21	0564-11-01
0565-01-20	0564-12-01
0565-02-18	0565-01-01
0565-03-20	0565-02-01
0565-04-18	0565-03-01
0565-05-18	0565-04-01
0565-06-16	0565-05-01
0565-07-16	0565-06-01
0565-08-14	0565-07-01
0565-09-13	0565-08-01
0565-10-12	0565-09-01
0565-11-11	0565-10-01
0565-12-10	0565-11-01
0566-01-09	0565-12-01
0566-02-07	0566-01-01
0566-03-09	0566-02-01
0566-04-07	0566-03-01
0566-05-07	0566-04-01
0566-06-06	0566-05-01
0566-07-05	0566-06-01
0566-08-04	0566-07-01
0566-09-02	0566-08-01
0566-10-02	0566-09-01
0566-10-31	0566-10-01
0566-11-30	0566-11-01
0566-12-29	0566-12-01
0567-01-28	0567-01-01
0567-02-26	0567-02-01
0567-03-28	0567-03-01
0567-04-26	0567-04-01
0567-05-26	0567-05-01
0567-06-24	0567-06-01
0567-07-24	0567-06'-01
0567-08-22	0567-07-01
0567-09-21	0567-08-01
0567-10-21	0567-09-01
0567-11-19	0567-10-01
0567-12-19	0567-11-01
0568-01-17	0567-12-01
0568-02-16	0568-01-01
0568-03-16	0568-02-01
0568-04-15	0568-03-01
0568-05-14	0568-04-01
0568-06-13	0568-05-01
0568-07-12	0568-06-01
0568-08-11	0568-07-01
0568-09-09	0568-08-01
0568-10-09	0568-09-01
0568-11-07	0568-10-01
0568-12-07	0568-11-01
0569-01-06	0568-12-01
0569-02-04	0569-01-01
0569-03-06	0569-02-01
0569-04-04	0569-03-01
0569-05-04	0569-04-01
0569-06-02	0569-05-01
0569-07-02	0569-06-01
0569-07-31	0569-07-01
0569-08-30	0569-08-01
0569-09-28	0569-09-01
0569-10-28	0569-10-01
0569-11-26	0569-11-01
0569-12-26	0569-12-01
0570-01-24	0570-01-01
0570-02-23	0570-02-01
0570-03-24	0570-02'-01
0570-04-23	0570-03-01
0570-05-23	0570-04-01
0570-06-21	0570-05-01
0570-07-21	0570-06-01
0570-08-19	0570-07-01
0570-09-18	0570-08-01
0570-10-17	0570-09-01
0570-11-16	0570-10-01
0570-12-15	0570-11-01
0571-01-14	0570-12-01
0571-02-12	0571-01-01
0571-03-14	0571-02-01
0571-04-12	0571-03-01
0571-05-12	0571-04-01
0571-06-10	0571-05-01
0571-07-10	0571-06-01
0571-08-08	0571-07-01
0571-09-07	0571-08-01
0571-10-07	0571-09-01
0571-11-05	0571-10-01
0571-12-05	0571-11-01
0572-01-03	0571-12-01
0572-02-02	0572-01-01
0572-03-02	0572-02-01
0572-04-01	0572-03-01
0572-04-30	0572-04-01
0572-05-30	0572-05-01
0572-06-28	0572-06-01
0572-07-28	0572-07-01
0572-08-26	0572-08-01
0572-09-25	0572-09-01
0572-10-24	0572-10-01
0572-11-23	0572-11-01
0572-12-23	0572-11'-01
0573-01-21	0572-12-01
0573-02-20	0573-01-01
0573-03-21	0573-02-01
0573-04-20	0573-03-01
0573-05-19	0573-04-01
0573-06-18	0573-05-01
0573-07-17	0573-06-01
0573-08-16	0573-07-01
0573-09-14	0573-08-01
0573-10-14	0573-09-01
0573-11-12	0573-10-01
0573-12-12	0573-11-01
0574-01-10	0573-12-01
0574-02-09	0574-01-01
0574-03-10	0574-02-01
0574-04-09	0574-03-01
0574-05-09	0574-04-01
0574-06-07	0574-05-01
0574-07-07	0574-06-01
0574-08-05	0574-07-01
0574-09-04	0574-08-01
0574-10-03	0574-09-01
0574-11-02	0574-10-01
0574-12-01	0574-11-01
0574-12-31	0574-12-01
0575-01-29	0575-01-01
0575-02-28	0575-02-01
0575-03-29	0575-03-01
0575-04-28	0575-04-01
0575-05-27	0575-05-01
0575-06-26	0575-06-01
0575-07-25	0575-07-01
0575-08-24	0575-08-01
0575-09-23	0575-08'-01
0575-10-22	0575-09-01
0575-11-21	0575-10-01
0575-12-20	0575-11-01
0576-01-19	0575-12-01
0576-02-17	0576-01-01
0576-03-18	0576-02-01
0576-04-16	0576-03-01
0576-05-16	0576-04-01
0576-06-14	0576-05-01
0576-07-14	0576-06-01
0576-08-12	0576-07-01
0576-09-11	0576-08-01
0576-10-10	0576-09-01
0576-11-09	0576-10-01
0576-12-09	0576-11-01
0577-01-07	0576-12-01
0577-02-06	0577-01-01
0577-03-07	0577-02-01
0577-04-06	0577-03-01
0577-05-05	0577-04-01
0577-06-04	0577-05-01
0577-07-03	0577-06-01
0577-08-02	0577-07-01
0577-08-31	0577-08-01
0577-09-30	0577-09-01
0577-10-29	0577-10-01
0577-11-28	0577-11-01
0577-12-27	0577-12-01
