0412-01-31	0412-01-01
0412-02-29	0412-02-01
0412-03-30	0412-03-01
0412-04-28	0412-04-01
0412-05-28	0412-05-01
0412-06-26	0412-06-01
0412-07-26	0412-07-01
0412-08-24	0412-08-01
0412-09-23	0412-08'-01
0412-10-22	0412-09-01
0412-11-21	0412-10-01
0412-12-20	0412-11-01
0413-01-19	0412-12-01
0413-02-18	0413-01-01
0413-03-19	0413-02-01
0413-04-18	0413-03-01
0413-05-17	0413-04-01
0413-06-16	0413-05-01
0413-07-15	0413-06-01
0413-08-14	0413-07-01
0413-09-12	0413-08-01
0413-10-12	0413-09-01
0413-11-10	0413-10-01
0413-12-10	0413-11-01
0414-01-08	0413-12-01
0414-02-07	0414-01-01
0414-03-08	0414-02-01
0414-04-07	0414-03-01
0414-05-06	0414-04-01
0414-06-05	0414-05-01
0414-07-05	0414-06-01
0414-08-03	0414-07-01
0414-09-02	0414-08-01
0414-10-01	0414-09-01
0414-10-31	0414-10-01
0414-11-29	0414-11-01
0414-12-29	0414-12-01
0415-01-27	0415-01-01
0415-02-26	0415-02-01
0415-03-27	0415-03-01
0415-04-26	0415-04-01
0415-05-25	0415-05-01
0415-06-24	0415-05'-01
0415-07-23	0415-06-01
0415-08-22	0415-07-01
0415-09-20	0415-08-01
0415-10-20	0415-09-01
0415-11-19	0415-10-01
0415-12-18	0415-11-01
0416-01-17	0415-12-01
0416-02-15	0416-01-01
0416-03-16	0416-02-01
0416-04-14	0416-03-01
0416-05-14	0416-04-01
0416-06-12	0416-05-01
0416-07-12	0416-06-01
0416-08-10	0416-07-01
0416-09-09	0416-08-01
0416-10-08	0416-09-01
0416-11-07	0416-10-01
0416-12-06	0416-11-01
0417-01-05	0416-12-01
0417-02-04	0417-01-01
0417-03-05	0417-02-01
0417-04-04	0417-03-01
0417-05-03	0417-04-01
0417-06-02	0417-05-01
0417-07-01	0417-06-01
0417-07-31	0417-07-01
0417-08-29	0417-08-01
0417-09-28	0417-09-01
0417-10-27	0417-10-01
0417-11-26	0417-11-01
0417-12-25	0417-12-01
0418-01-24	0418-01-01
0418-02-22	0418-02-01
0418-03-24	0418-02'-01
0418-04-22	0418-03-01
0418-05-22	0418-04-01
0418-06-21	0418-05-01
0418-07-20	0418-06-01
0418-08-19	0418-07-01
0418-09-17	0418-08-01
0418-10-17	0418-09-01
0418-11-15	0418-10-01
0418-12-15	0418-11-01
0419-01-13	0418-12-01
0419-02-12	0419-01-01
0419-03-13	0419-02-01
0419-04-12	0419-03-01
0419-05-11	0419-04-01
0419-06-10	0419-05-01
0419-07-09	0419-06-01
0419-08-08	0419-07-01
0419-09-06	0419-08-01
0419-10-06	0419-09-01
0419-11-05	0419-10-01
0419-12-04	0419-11-01
0420-01-03	0419-12-01
0420-02-01	0420-01-01
0420-03-02	0420-02-01
0420-03-31	0420-03-01
0420-04-30	0420-04-01
0420-05-29	0420-05-01
0420-06-28	0420-06-01
0420-07-27	0420-07-01
0420-08-26	0420-08-01
0420-09-24	0420-09-01
0420-10-24	0420-10-01
0420-11-22	0420-11-01
0420-12-22	0420-11'-01
0421-01-21	0420-12-01
0421-02-19	0421-01-01
0421-03-21	0421-02-01
0421-04-19	0421-03-01
0421-05-19	0421-04-01
0421-06-17	0421-05-01
0421-07-17	0421-06-01
0421-08-15	0421-07-01
0421-09-14	0421-08-01
0421-10-13	0421-09-01
0421-11-12	0421-10-01
0421-12-11	0421-11-01
0422-01-10	0421-12-01
0422-02-08	0422-01-01
0422-03-10	0422-02-01
0422-04-08	0422-03-01
0422-05-08	0422-04-01
0422-06-07	0422-05-01
0422-07-06	0422-06-01
0422-08-05	0422-07-01
0422-09-03	0422-08-01
0422-10-03	0422-09-01
0422-11-01	0422-10-01
0422-12-01	0422-11-01
0422-12-30	0422-12-01
0423-01-29	0423-01-01
0423-02-27	0423-02-01
0423-03-29	0423-03-01
0423-04-27	0423-04-01
0423-05-27	0423-05-01
0423-06-25	0423-06-01
0423-07-25	0423-07-01
0423-08-23	0423-07'-01
0423-09-22	0423-08-01
0423-10-22	0423-09-01
0423-11-20	0423-10-01
0423-12-20	0423-11-01
0424-01-18	0423-12-01
0424-02-17	0424-01-01
0424-03-17	0424-02-01
0424-04-16	0424-03-01
0424-05-15	0424-04-01
0424-06-14	0424-05-01
0424-07-13	0424-06-01
0424-08-12	0424-07-01
0424-09-10	0424-08-01
0424-10-10	0424-09-01
0424-11-08	0424-10-01
0424-12-08	0424-11-01
0425-01-07	0424-12-01
0425-02-05	0425-01-01
0425-03-07	0425-02-01
0425-04-05	0425-03-01
0425-05-05	0425-04-01
0425-06-03	0425-05-01
0425-07-03	0425-06-01
0425-08-01	0425-07-01
0425-08-31	0425-08-01
0425-09-29	0425-09-01
0425-10-29	0425-10-01
0425-11-27	0425-11-01
0425-12-27	0425-12-01
0426-01-25	0426-01-01
0426-02-24	0426-02-01
0426-03-25	0426-03-01
0426-04-24	0426-04-01
0426-05-24	0426-04'-01
0426-06-22	0426-05-01
0426-07-22	0426-06-01
0426-08-20	0426-07-01
0426-09-19	0426-08-01
0426-10-18	0426-09-01
0426-11-17	0426-10-01
0426-12-16	0426-11-01
0427-01-15	0426-12-01
0427-02-13	0427-01-01
0427-03-15	0427-02-01
0427-04-13	0427-03-01
0427-05-13	0427-04-01
0427-06-11	0427-05-01
0427-07-11	0427-06-01
0427-08-09	0427-07-01
0427-09-08	0427-08-01
0427-10-08	0427-09-01
0427-11-06	0427-10-01
0427-12-06	0427-11-01
0428-01-04	0427-12-01
0428-02-03	0428-01-01
0428-03-03	0428-02-01
0428-04-02	0428-03-01
0428-05-01	0428-04-01
0428-05-31	0428-05-01
0428-06-29	0428-06-01
0428-07-29	0428-07-01
0428-08-27	0428-08-01
0428-09-26	0428-09-01
0428-10-25	0428-10-01
0428-11-24	0428-11-01
0428-12-24	0428-12-01
0429-01-22	0429-01-01
0429-02-21	0429-01'-01
0429-03-22	0429-02-01
0429-04-21	0429-03-01
0429-05-20	0429-04-01
0429-06-19	0429-05-01
0429-07-18	0429-06-01
0429-08-17	0429-07-01
0429-09-15	0429-08-01
0429-10-15	0429-09-01
0429-11-13	0429-10-01
0429-12-13	0429-11-01
0430-01-11	0429-12-01
0430-02-10	0430-01-01
0430-03-11	0430-02-01
0430-04-10	0430-03-01
0430-05-10	0430-04-01
0430-06-08	0430-05-01
0430-07-08	0430-06-01
0430-08-06	0430-07-01
0430-09-05	0430-08-01
0430-10-04	0430-09-01
0430-11-03	0430-10-01
0430-12-02	0430-11-01
0431-01-01	0430-12-01
0431-01-30	0431-01-01
0431-03-01	0431-02-01
0431-03-30	0431-03-01
0431-04-29	0431-04-01
0431-05-28	0431-05-01
0431-06-27	0431-06-01
0431-07-26	0431-07-01
0431-08-25	0431-08-01
0431-09-24	0431-09-01
0431-10-23	0431-09'-01
0431-11-22	0431-10-01
0431-12-21	0431-11-01
0432-01-20	0431-12-01
0432-02-18	0432-01-01
0432-03-19	0432-02-01
0432-04-17	0432-03-01
0432-05-17	0432-04-01
0432-06-15	0432-05-01
0432-07-15	0432-06-01
0432-08-13	0432-07-01
0432-09-12	0432-08-01
0432-10-11	0432-09-01
0432-11-10	0432-10-01
0432-12-10	0432-11-01
0433-01-08	0432-12-01
0433-02-07	0433-01-01
0433-03-08	0433-02-01
0433-04-07	0433-03-01
0433-05-06	0433-04-01
0433-06-05	0433-05-01
0433-07-04	0433-06-01
0433-08-03	0433-07-01
0433-09-01	0433-08-01
0433-10-01	0433-09-01
0433-10-30	0433-10-01
0433-11-29	0433-11-01
0433-12-28	0433-12-01
