## Source:
## "The Japanese-Taiwanese Fundamental Characters’ Contrastive Phonetic
## Table", 中澤信幸,
## <http://www7b.biglobe.ne.jp/~nob_nakazawa/phonetic_table.html>.
## 
## > The Modern “Nichi-Tai Jion Binran” Database
## > 現代版日台字音便覧データベース Version 2.1.1 (updated at 2014.1.26), Microsoft Excel file.
## <http://www7b.biglobe.ne.jp/~nob_nakazawa/nichitai_jion_binran_2_1_1.xls>
##
## Char	漢音	呉音
一	いつ	いち
丁	てい	ちゃう
三	さん	そん
上	しゃう	じゃう
丑	ちう	ちゆ
世	せい	せ
業	げふ	ごふ
東	とう	つう
中	ちゅう	ちょう
丰	ふう	ぶう
臨	りん	ろん
主	しゆ	す
乃	だい	ない
久	きう	く
義	ぎ	ぎ
之	し	し
烏	を	う
樂	がう,がく,らく	げう,ごく,らく
乘	しょう	じょう
乾	かん,けん	かん,げん
龜	き	き
二	じ	に
云	うん	をん
五	ご	ぐ
亡	ばう	まう
交	かう	けう
亨	けい	かう
享	きゃう	きゃう
京	けい	きゃう
人	じん	にん
仁	じん	にん
仍	じょう	ねい
從	しょう	じゅう
仙	せん	せん
代	たい	だい
令	れい	りゃう
以	い	い
儀	ぎ	ぎ
仲	ちゅう	ぢょう
會	くゎい	ゑ
傅	ふ	ほ
位	ゐ	ゐ
佐	さ	さ
佑	いう	う
來	らい	らい
矦	こう	ぐ
保	はう	ほう
倒	たう	とう
倭	わ	わ
僖	き	き
優	いう	う
允	いん	ゆん
元	げん	ぐゎん
兄	けい	きゃう
充	じゅう	しょう
先	せん	せん
光	くゎう	くゎう
克	こく	くく
全	せん	ぜん
公	こう	くう
六	りく	ろく
蘭	らん	らん
共	きょう	ぐう
興	きょう	こう
養	やう	やう
獸	しう	しゆ
圓	ゑん	わん
冊	せき	しゃく
再	さい	せい
農	どう	のう
鳳	ほう	ぶう
凰	くゎう	わう
出	しゅつ,すゐ	しゅち,すゐ
列	れつ	れち
劉	りう	る
創	しゃう	さう
初	しよ	そ
利	り	り
到	たう	とう
制	せい	さい
前	せん	ぜん
力	りょく	りき
功	こう	く
加	か	け
務	ぶ	む
勒	ろく	るく
勝	しょう	せい
化	くわ	け
升	しょう	せい
華	くわ	げ
恊	けふ	げふ,こふ
卒	そつ	そち
南	なん	のん
博	はく	ばく
原	げん	ぐゎん
反	はん	ほん
收	しう	しゆ
受	しう	じゆ
古	こ	く
召	てう	でう
台	たい	てい
號	かう	ごう
各	かく	かく
合	かふ	ごふ
吉	きつ	きち
同	とう	どう
后	こう	ぐ
呂	りよ	ろ
君	くん	こん
啓	けい	かい
吳	ご	ぐ
吿	かう,こく	くく,こう
周	しう	しゆ
命	めい	みゃう
和	くわ	わ
咸	かん	げん
哀	あい	えい
品	ひん	ほん
哥	か	か
哭	こく	くく
哲	てつ	てち
唐	たう	どう
善	せん	ぜん
喜	き	き
嗣	し	じ
嘉	か	け
四	し	し
國	こく	くゎく
地	ち	ぢ
坤	こん	こん
垂	すゐ	ずゐ
基	き	き
堯	げう	げう
壽	しう	じゆ
夏	か	げ
大	たい	だい
天	てん	てん
太	たい	たい
奴	ど	ぬ
如	じよ	によ
始	し	し
姜	きゃう	かう
威	ゐ	ゐ
嬰	えい	やう
嬉	き	き
子	し	し
孔	こう	く
字	し	じ
孫	そん	そん
孝	かう	けう
學	かく	がく
宁	ちよ	ど
宅	たく	てき
宇	う	を
安	あん	あん
宏	くゎう	ごう
宗	そう	しゅう
