甘露/曹魏 甘露(丙子)
黃龍/孫吳 黃龍(己酉)
建興/孫吳 建興(壬申)
五鳳/孫吳 五鳳(甲戌)
元興/孫吳 元興(甲申)
甘露/孫吳 甘露(乙酉)
永平/西晉 永平(辛亥)
元康/西晉 元康(辛亥)
永康/西晉 永康(庚申)
永寧/西晉 永寧(辛酉)
永安/西晉 永安(甲子)
永興/西晉 永興(甲子)
建興/西晉 建興(癸酉)
建元/東晉 建元(癸卯)
太和/東晉 太和(丙寅)
太元/東晉 太元(丙子)
元興/東晉 元興(壬寅)
永始/桓楚 永始(癸卯)
元熙/前趙 元熙(甲子)
嘉平/前趙 嘉平(辛未)
建元/前趙 建元(乙亥)
太和/前趙 太和(前趙)
建初/成漢 建初(癸亥)
太和/成漢 太和(甲辰)
和平/前涼 和平(甲寅)
昇平/前涼 昇平(辛酉)
昇平/前涼 昇平(癸亥)
太和/後趙 太和(戊子)
建平/後趙 建平(庚寅)
延熙/後趙 延熙(甲午)
太寧/後趙 太寧(己酉)
永熙/後趙 永熙(後趙)
青龍/後趙 青龍(庚戌)
永寧/後趙 永寧(庚戌)
永興/冉魏 永興(庚戌)
永興/前秦 永興(丁巳)
甘露/前秦 甘露(己未)
建元/前秦 建元(乙丑)
太安/前秦 太安(乙酉)
太初/前秦 太初(丙戌)
建初/後秦 建初(丙戌)
燕元/後燕 燕元(甲申)
建興/後燕 建興(丙戌)
永康/後燕 永康(丙申)
建平/後燕 建平(戊戌)
建始/後燕 建始(丁未)
建光/翟魏 建光(戊子)
更始/西燕 更始(乙酉)
建平/西燕 建平(丙戌)
太初/西秦 太初(戊子)
更始/西秦 更始(己酉)
永康/西秦 永康(壬子)
太安/後涼 太安(丙戌)
麟嘉/後涼 麟嘉(己丑)
咸寧/後涼 咸寧(己亥)
太初/南涼 太初(丁酉)
建和/南涼 建和(庚子)
嘉平/南涼 嘉平(戊申)
建平/南燕 建平(庚子)
建初/西涼 建初(乙巳)
永建/西涼 永建(庚申)
正始/北燕 正始(丁未)
太平/北燕 太平(己酉)
太平/misc/丙申 太平(丙申)
太平/misc/癸卯 太平(癸卯)
太平/misc 太平(李婆備)
太平/misc/丙子 太平(林士弘)
太平/misc/庚申 太平(庚申)
太平/梁 太平(丙子)
太平/柔然 太平(乙丑)
太平/遼 太平(辛酉)
天璽/北涼 天璽(己亥)
永安/北涼 永安(辛丑)
真興/北涼 真興(北涼)
建平/北涼 建平(北涼)
永初/宋 永初(庚申)
元嘉/宋 元嘉(甲子)
永光/宋 永光(乙巳)
泰始/宋 泰始(乙巳)
建元/齊 建元(己未)
延興/齊 延興(甲戌)
永元/齊 永元(己卯)
中興/齊 中興(辛巳)
天康/陳 天康(丙戌)
皇始/北魏 皇始(丙申)
永興/北魏 永興(己酉)
太安/北魏 太安(乙未)
和平/北魏 和平(庚子)
延興/北魏 延興(辛亥)
太和/北魏 太和(丁巳)
正始/北魏 正始(甲申)
永平/北魏 永平(戊子)
建義/北魏 建義(戊申)
永安/北魏 永安(戊申)
建明/北魏 建明(庚戌)
中興/北魏 中興(辛亥)
永興/北魏 永興(壬子)
永熙/北魏 永熙(壬子)
乾明/北齊 乾明(庚辰)
太寧/北齊 太寧(辛巳)
承光/北齊 承光(丁酉)
武定/北周 武定(北周)
大定/北周 大定(辛丑)
永康/柔然 永康(甲辰)
太安/柔然 太安(壬申)
建初/高昌 建初(己巳)
義熙/高昌 義熙(辛卯)
甘露/高昌 甘露(乙巳)
章和/高昌 章和(辛亥)
永平/高昌 永平(己巳)
和平/高昌 和平(辛未)
建昌/高昌 建昌(乙亥)
延昌/高昌 延昌(辛巳)
延和/高昌 延和(壬戌)
義和/高昌 義和(甲戌)
永昌/唐朝 永昌(己丑)
延和/唐朝 延和(壬子)
永泰/唐朝 永泰(乙巳)
