## Default source: [401]

# [347]
-0659-01-01	神武天皇
-0580-01-01	綏靖天皇
-0547-01-01	安寧天皇
-0509-01-01	懿徳天皇
-0474-01-01	孝昭天皇
-0391-01-01	孝安天皇
-0289-01-01	孝霊天皇
-0213-01-01	孝元天皇
-0156-01-01	開化天皇
-0096-01-01	崇神天皇
-0028-01-01	垂仁天皇
0071-01-01	景行天皇
0131-01-01	成務天皇
0192-01-01	仲哀天皇
0201-01-01	神功皇后摂政
0270-01-01	応神天皇
0313-01-01	仁徳天皇
0400-01-01	履中天皇
0406-01-01	反正天皇
0412-01-01	允恭天皇
0454-01-01	安康天皇
0457-01-01	雄略天皇
0480-01-01	清寧天皇
0485-01-01	顕宗天皇
0488-01-01	仁賢天皇
0499-01-01	武烈天皇
0507-01-01	継体天皇
0534-01-01	安閑天皇
0536-01-01	宣化天皇
0540-01-01	欽明天皇
0572-01-01	敏達天皇
0586-01-01	用明天皇
0588-01-01	崇峻天皇
0593-01-01	推古天皇
0629-01-01	舒明天皇
0642-01-01	皇極天皇

0645-06-19	大化
  ! -1-1 <-皇極天皇
    # [347]
0650-02-15	白雉
  ! -1-1
    # [347]
  e 5-10-10 ->斉明天皇 崩御
    # 孝徳天皇
    # [323], Wikipedia
  #e 5-12-30 ->斉明天皇 年末
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-330>
  u 12

# [347]
0655-01-01	斉明天皇
0662-01-01	天智天皇
0672-01-01	天武天皇

0686-07-20	朱鳥
  ! -1-1 <-天武天皇
    # [347]
  e 1-09-09 ->持統天皇 崩御
    # 天武天皇
    # Wikipedia
  e 1-12'-30 ->持統天皇 年末
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-141>
  u 3
  u 4
  u 6
  u 8
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-93>

# [347]
0687-01-01	持統天皇
  #e 11-1-1 ->文武天皇 年末
    # [347]

0697-08-01	文武天皇
    # <https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E6%9B%B8%E7%B4%80/%E5%8D%B7%E7%AC%AC%E4%B8%89%E5%8D%81>
    # <https://zh.wikisource.org/wiki/%E7%BA%8C%E6%97%A5%E6%9C%AC%E7%B4%80/%E5%8D%B7%E7%AC%AC%E4%B8%80>
  #s -1-1 <-持統天皇 年始
    # [347]

0701-03-21	大宝
0704-05-10	慶雲
0708-01-11	和銅
  ! -05-11
0715-09-02	霊亀
  ! -09-03
0717-11-17	養老
  u 1300
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-346>
0724-02-04	神亀
0729-08-05	天平
0749-04-14	天平感宝
0749-07-02	天平勝宝
0757-08-18	天平宝字
  not renaming year
0765-01-07	天平神護
0767-08-16	神護景雲
0770-10-01	宝亀
0781-01-01	天応
0782-08-19	延暦
0806-05-18	大同
0810-09-19	弘仁
  ! -9-27
0824-01-05	天長
  ! -5-5
0834-01-03	承和
  ! -6-13
0848-06-13	嘉祥
0851-04-28	仁寿
0854-11-30	斉衡
  -11-29
0857-02-21	天安
0859-04-15	貞観
  -4-16
0877-04-16	元慶
  ! -4-26
0885-02-21	仁和
0889-04-27	寛平
  -4-24
  -4-26
  u 10-4-20
  u 10-4-23
0898-04-26	昌泰
  -4-16
  -8-16
0901-07-15	延喜
0923-04'-11	延長
0931-04-26	承平
  -5-22
  -04-27 覆奏
0938-05-22	天慶
  -5-28 覆奏
0947-04-22	天暦
  -5-2 覆奏
0957-10-27	天徳
0961-02-16	応和
0964-07-10	康保
0968-08-13	安和
  -8-15
0970-03-25	天禄
0973-12-20	天延
0976-07-13	貞元
  u 3-11-28
0978-11-29	天元
  ! -4-13
  ! -11-29
  ! -4-15
  ! -5-7
  ! -5-15
0983-04-15	永観
  ! -4-25
  ! -2-16
0985-04-27	寛和
  -4-24
  -4-25
  -4-4
0987-04-05	永延
  -4-9
  -4-7
0989-08-08	永祚
0990-11-07	正暦
0995-02-22	長徳
  -2-16
  -2-11
  -2-23
0999-01-13	長保
1004-07-20	寛弘
1012-12-25	長和
1017-04-23	寛仁
1021-02-02	治安
1024-07-13	万寿
1028-07-25	長元
1037-04-21	長暦
  ! -4-25
  ! -4-26
1040-11-10	長久
  -11-24
1044-11-24	寛徳
1046-04-14	永承
1053-01-11	天喜
1058-08-29	康平
1065-08-02	治暦
1069-04-13	延久
1074-08-23	承保
1077-11-17	承暦
1081-02-10	永保
1084-02-07	応徳
1087-04-07	寛治
1094-12-15	嘉保
1096-12-17	永長
1097-11-21	承徳
  -11-17
1099-08-28	康和
1104-02-10	長治
1106-04-09	嘉承
1108-08-03	天仁
1110-07-13	天永
1113-07-13	永久
1118-04-03	元永
1120-04-10	保安
1124-04-03	天治
1126-01-22	大治
1131-01-29	天承
1132-08-11	長承
1135-04-27	保延
1141-07-10	永治
1142-04-28	康治
  -4-18
1144-02-23	天養
  -2-22
  -2-24
1145-07-22	久安
1151-01-26	仁平
1154-10-28	久寿
1156-04-27	保元
  ! -4-23
1159-04-20	平治
1160-01-10	永暦
1161-09-04	応保
1163-03-29	長寛
  -4-1
1165-06-05	永万
1166-08-27	仁安
1169-04-08	嘉応
1171-04-21	承安
1175-07-28	安元
1177-08-04	治承
  u 6
  u 7
1181-07-14	養和
1182-05-27	寿永
  s 2-10-14 <-治承 源頼朝
  s 2-10-14 <-治承 関東
    # 寿永二年十月宣旨
  #s 2 <-治承 源頼朝
  #  # p.349
  #s 3 <-治承 源頼朝
  #  # p.335
  e 4-3-24 平氏
    # 元暦2年3月24日 壇ノ浦の戦い
  # 文治改元後も平氏が使用 <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-123>
1184-04-16	元暦
1185-08-14	文治
1190-04-11	建久
1199-04-27	正治
1201-02-13	建仁
  -2-22 鎌倉
  -2-22 関東
1204-02-20	元久
1206-04-27	建永
1207-10-25	承元
  -11-5 鎌倉
  -11-5 関東
1211-03-09	建暦
  -3-19 鎌倉
  -3-19 関東
1213-12-06	建保
1219-04-12	承久
1222-04-13	貞応
1224-11-20	元仁
  -12-4 鎌倉
  -12-4 関東
1225-04-20	嘉禄
  -5-2 鎌倉
  -5-2 関東
1227-12-10	安貞
  -12-25 鎌倉
  -12-26 吉書始
  -12-26 関東
1229-03-05	寛喜
  -3-5 鎌倉
    # ^ ママ
  -3-25 吉書始
  -3-25 関東
1232-04-02	貞永
1233-04-15	天福
  -4-23 鎌倉
  -4-23 関東
1234-11-05	文暦
1235-09-19	嘉禎
  -10-8 鎌倉
  -10-14 吉書始
  -10-14 関東
1238-11-23	暦仁
  -12-9 鎌倉
  -12-9 関東
1239-02-07	延応
  -2-16 鎌倉
  -2-16 関東
1240-07-16	仁治
  -7-27 鎌倉
  -7-27 関東
1243-02-26	寛元
  -3-2 鎌倉
  -3-2 関東
1247-02-28	宝治
1249-03-18	建長
1256-10-05	康元
  -10-9 鎌倉
  -10-9 関東
1257-03-14	正嘉
  -3-18 鎌倉
  -3-18 関東
1259-03-26	正元
1260-04-13	文応
  -4-18 鎌倉
  -4-18 関東
  ! -2-20
    # [403]
1261-02-20	弘長
  -2-26 鎌倉
  -2-26 関東
1264-02-28	文永
1275-04-25	建治
1278-02-29	弘安
1288-04-28	正応
1293-08-05	永仁
1299-04-25	正安
1302-11-21	乾元
1303-08-05	嘉元
1306-12-14	徳治
1308-10-09	延慶
1311-04-28	応長
  u 13
1312-03-20	正和
1317-02-03	文保
1319-04-28	元応
1321-02-23	元亨
1324-12-09	正中
1326-04-26	嘉暦
1329-08-29	元徳
  s 1-8-29 <-嘉暦 京都
  
  #e 4-4-28 ->正慶 持明院統
    # 鎌倉
  north ->正慶
  
  #e 3-8-9 ->元弘 大覚寺統
  south ->元弘
1331-08-09	元弘
  s 1-8-9 <-元徳 京都

  e 1-08-24 ->元徳 京都
    # 旧暦元弘元年8月24日 後醍醐天皇京都脱出

  #s 3-05-25 <-正慶 北朝
    # 北朝廃止
  
  north ->建武
  south ->建武
1332-04-28	正慶
  ! -1-28
    # p.439
  #e 2-05-23 ->元弘 北朝
  #  # 北朝廃止
  #  # p.442, 443
  e 2-05-25 ->元弘 北朝
  e 2-05-25 ->元弘 京都
  e 2-05-25 ->元弘 関東
    # 北朝廃止
  north ->元弘 2-5-25
    # p.441, [347]
1334-01-29	建武
  s 1-1-29 <-元弘 北朝
  s 1-1-29 <-元弘 京都
  
  s 3-6-15 <-延元 北朝
  s 3-6-15 <-延元 京都
  s 3-6-15 <-延元 関東
    # Wikipedia: 旧暦延元元年6月15日光厳上皇が改元撤回
  #s 3-8-15 <-延元 北朝
  #  # 光明天皇即位
  #  # p.461
  
  north ->暦応
  south ->延元
1336-02-29	延元
  s 1-2-29 <-建武 北朝
  s 1-2-29 <-建武 京都
  s 1-2-29 <-建武 関東
  #e 1-6-15 ->建武 廃止
    # Wikipedia
  u 5-1-22
  south ->興国
1338-08-28	暦応
  s -9-4 幕府
  north ->康永
1340-04-28	興国
  ! 0
    # 1339
  south ->正平
1342-04-27	康永
  north ->貞和
1345-10-21	貞和
  u 6 足利直冬
  #e 7-6-10 <-観応 足利直冬
  u 7
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-78>
  north ->観応
1346-12-08	正平
  ! -4
    # Wikipedia
  ! -7-24
    # Wikipedia
  ! -7-4
    # Wikipedia

  #s 6-11-3 <-観応 足利尊氏
  #s 6-11-3 <-観応 足利義詮
  
  #e /7-3-10 ->観応 足利尊氏
    # 鎌倉
  #e 7-2'-23 ->観応 足利義詮
    # 7-2'-19/-23
    
  south ->建徳
1350-02-27	観応
  s 1-2-27 <-貞和 北朝
  s 1-2-27 <-貞和 京都
  s 1-2-27 <-貞和 関東
  s 2-6-10 ->貞和 足利直冬
  
  e 2-11-3 ->正平 足利尊氏
  e 2-11-3 ->正平 足利義詮
  e 2-11-7 ->正平 北朝
  e 2-11-7 ->正平 京都
  e 2-11-7 ->正平 関東
    # 崇光天皇退位
    # Wikipedia
  
  e 2-12 ->正平 鎌倉
  e 2-12 ->正平 関東
    #足利直義(3-2-26没)
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-662>
  
  # u 2 足利直冬
  s /3-3-10 <-正平 足利尊氏
  s /3-3-10 <-正平 関東
    # 鎌倉
  #s 3-3-11 <-正平 足利尊氏
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-157>
  #s 3-3-12 <-正平 足利尊氏
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-664>
  s 3-2'-19/3-2'-23 <-正平 足利義詮
  
  s 3-3-15 <-正平 北朝
  s 3-3-15 <-正平 京都
    # 旧暦正平7年3月15日足利義詮上洛

  e 3-12 ->正平 足利直冬
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-668>
  
  north ->文和
1352-09-27	文和
  north ->延文
1356-03-28	延文
  north ->康安
1361-03-29	康安
  north ->貞治
1362-09-23	貞治
  north ->応安
1368-02-18	応安
  ! -2-17
  ! -2-27
  north ->永和
1370-02-05	建徳
    # [19]
  /-2-5
  -7-4
  -4-26/-7-27
  u 1-2-5
  -7-24
    # [347], [403], 旧通説
    
  -4-22
  -1-21
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-118>
  u 3-4-5
  south ->文中
1372-04-28	文中
    # [19]
  -4-1
    # [347], <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-96>
  -4-5/-4-28
  ! -10-4

  -3-22
  ! -3-27
  ! -10-24
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-96>
  south ->天授
1375-02-27	永和
  s -3-9 吉書始
  s -3-9 関東
  north ->康暦
1375-05-27	天授
  /-6-2
  u 1-6-2

  -2
    # 上旬 <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-130>
  south ->弘和
1379-03-22	康暦
  ! -3-27
  north ->永徳
1381-02-10	弘和
  0-6/1-6-21
  u 1-6-21

  -2-14
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-115>
  south ->元中
1381-02-24	永徳
  ! -2-27
  north ->至徳
1384-02-27	至徳
  north ->嘉慶
1384-04-28	元中
  /-11-5
  -11-5
    # [19]
  u 1-11-5
  e 9-10'-05 ->明徳 南朝
    #後亀山天皇退位
  south ->明徳 9-10'-05
  u 9-11-1
  u 10-2-9
  u 11-12-19

  u 12
  u 14
  u 18
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-110>
1387-08-23	嘉慶
  north ->康応
1389-02-09	康応
  north ->明徳
1390-03-26	明徳
  #s 3-10'-05 南朝
  north ->応永
  south ->応永
1394-07-05	応永
1428-04-27	正長
  #e 4-8 ->永享 足利持氏
1429-09-05	永享
  s 3-8 <-正長 足利持氏
  s 3-8 <-正長 関東
1441-02-17	嘉吉
  s -2-21 吉書始
1444-02-05	文安
1449-07-28	宝徳
1452-07-25	享徳
  u 5
  u 27
    # <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-76>
1455-07-25	康正
1457-09-28	長禄
1460-12-21	寛正
  s 1-12-21 <-長禄 鎌倉
  s 1-12-21 <-長禄 関東

  e 2-12 ->延徳(庚辰) 鎌倉
  e 2-12 ->延徳(庚辰) 関東
  s 3-7 <-延徳(庚辰) 鎌倉
  s 3-7 <-延徳(庚辰) 関東
    # 鶴岡八幡宮 p.510
1466-02-28	文正
1467-03-05	応仁
1469-04-28	文明
1487-07-20	長享
1489-08-21	延徳
  s -10-11 幕府
  # s -10 吉書始 -10-11 中止決定
1492-07-19	明応
  s -7-28 吉書始
1501-02-29	文亀
  s -3-11 吉書始
1504-02-30	永正
1521-08-23	大永
  #e ??? 堺公方
    # 享禄改元無視 <https://wiki.suikawiki.org/n/%E6%97%A5%E6%9C%AC%E3%81%AE%E5%85%83%E5%8F%B7#anchor-81>
