
元和(癸巳) 1533-1548
順平 1549-1556
天祐(丁巳) 1557
正治(戊午) 1558-1571
洪福 1572
嘉泰(癸酉) 1573-1577
光興(戊寅) 1578-1599
慎德 1600
弘定 1600-1619
永祚(己未) 1619-1629
德隆 1629-1635
陽和 1635-1643
福泰 1643-1649
慶德 1649-1653
盛德(癸巳) 1653-1658
永壽(戊戌) 1658-1662
萬慶 1662
景治 1663-1672
陽德 1672-1674
德元 1674-1675
永治(丙辰) 1676-1680
正和(庚申) 1680-1705
永盛 1705-1720
保泰 1720-1729
永慶 1729-1732
龍德(壬子) 1732-1735
永佑,永祐 1735-1740
景興 1740-1786
昭統 1787-1789

泰德 1778-1793
光中 1788-1792
景盛 1793-1801
寶興 1801-1802

嘉隆 1802-1819
明命 1820-1840
紹治 1841-1847
嗣德 1848-1883
建福(甲申) 1884-1884
咸宜 1885-1885
同慶(乙酉) 1885-1888
成泰 1889-1907
維新 1907-1916
啟定 1916-1925
保大(丙寅) 1926-1945

協和 1884

永寧(越南)
永天 1420
光照(乙未) 1535-1548
羅平(丁酉) 1597
福德(丁酉) 1597
大德(越南丁酉) 1597
