## 旺文社古語辞典第八版, 1994-09-20 第八版発行, 2000 重版, 1432ページ
大化 たいくわ
白雉 はくち
白鳳 はくほう
朱鳥 すてう
大宝 たいほう
慶雲 きやううん
和銅 わどう
霊亀 れいき
養老 やうらう
神亀 じんき
天平 てんぴやう
天平感宝 てんぴやうかんぽう
天平勝宝 てんぴやうしようほう
天平宝字 てんぴやうほうじ
天平神護 てんぴやうじんご
神護景雲 じんごけいうん
宝亀 ほうき
天応 てんおう
延暦 えんりやく
大同 だいどう
弘仁 こうにん
天長 てんちやう
承和 じようわ
嘉祥 かじやう
仁寿 にんじゆ
斉衡 さいかう
天安 てんあん
貞観 ぢやうぐわん
元慶 ぐわんきやう
仁和 にんな
寛平 くわんぴやう
昌泰 しやうたい
延喜 えんぎ
延長 えんちやう
承平 じようへい
天慶 てんぎやう
天暦 てんりやく
天徳 てんとく
応和 おうわ
康保 かうほう
安和 あんな
天禄 てんろく
天延 てんえん
貞元 ぢやうげん
天元 てんげん
永観 えいくわん
寛和 くわんわ
永延 えいえん
永祚 えいそ
正暦 しやうれき
長徳 ちやうとく
長保 ちやうほう
寛弘 くわんこう
長和 ちやうわ
寛仁 くわんにん
治安 ちあん
万寿 まんじゆ
長元 ちやうげん
長暦 ちやうりやく
長久 ちやうきう
寛徳 くわんとく
永承 えいじよう
天喜 てんぎ
康平 かうへい
治暦 ぢりやく
延久 えんきう
承保 じようほう
承暦 じようりやく
永保 えいほう
応徳 おうとく
寛治 くわんぢ
嘉保 かほう
永長 えいちやう
承徳 じようとく
康和 かうわ
長治 ちやうぢ
嘉承 かじよう
天仁 てんにん
天永 てんえい
永久 えいきう
元永 げんえい
保安 ほうあん
天治 てんぢ
大治 だいぢ
天承 てんじよう
長承 ちやうしよう
保延 ほうえん
永治 えいぢ
康治 かうぢ
天養 てんやう
久安 きうあん
仁平 にんぴやう
久寿 きうじゆ
保元 ほうげん
平治 へいぢ
永暦 えいりやく
応保 おうほう
長寛 ちやうくわん
永万 えいまん
仁安 にんあん
嘉応 かおう
承安 じようあん
安元 あんげん
治承 ぢしよう
養和 やうわ
寿永 じゆえい
元暦 げんりやく
文治 ぶんぢ
建久 けんきう
正治 しやうぢ
建仁 けんにん
元久 げんきう
建永 けんえい
承元 じようげん
建暦 けんりやく
建保 けんぽう
承久 じようきう
貞応 ぢやうおう
元仁 げんにん
嘉禄 かろく
安貞 あんてい
寛喜 くわんぎ
貞永 ぢやうえい
天福 てんぷく
文暦 ぶんりやく
嘉禎 かてい
暦仁 りやくにん
延応 えんおう
仁治 にんぢ
寛元 くわんげん
宝治 ほうぢ
建長 けんちやう
康元 かうげん
正嘉 しやうか
正元 しやうげん
文応 ぶんおう
弘長 こうちやう
文永 ぶんえい
建治 けんぢ
弘安 こうあん
正応 しやうおう
永仁 えいにん
正安 しやうあん
乾元 けんげん
嘉元 かげん
徳治 とくぢ
延慶 えんきやう
応長 おうちやう
正和 しやうわ
文保 ぶんぽう
元応 げんおう
元亨 げんかう
正中 しやうちゆう
嘉暦 かりやく
元徳 げんとく
元弘 げんこう
建武 けんむ
延元 えんげん
興国 こうこく
正平 しやうへい
建徳 けんとく
文中 ぶんちゆう
天授 てんじゆ
弘和 こうわ
元中 げんちゆう
正慶 しやうきやう
暦応 りやくおう
康永 かうえい
貞和 ぢやうわ
観応 くわんおう
文和 ぶんわ
延文 えんぶん
康安 かうあん
貞治 ぢやうぢ
応安 おうあん
永和 えいわ
康暦 かうりやく
永徳 えいとく
至徳 しとく
嘉慶 かきやう
康応 かうおう
明徳 めいとく
応永 おうえい
正長 しやうちやう
永享 えいきやう
嘉吉 かきつ
文安 ぶんあん
宝徳 ほうとく
享徳 きやうとく
康正 かうしやう
長禄 ちやうろく
寛正 くわんしやう
文正 ぶんしやう
応仁 おうにん
文明 ぶんめい
長享 ちやうきやう
延徳 えんとく
明応 めいおう
文亀 ぶんき
永正 えいしやう
大永 だいえい
享禄 きやうろく
天文 てんぶん
弘治 こうぢ
永禄 えいろく
元亀 げんき
天正 てんしやう
文禄 ぶんろく
慶長 けいちやう
元和 げんわ
寛永 くわんえい
正保 しやうほう
慶安 けいあん
承応 じようおう
明暦 めいれき
万治 まんぢ
寛文 くわんぶん
延宝 えんぽう
天和 てんわ
貞享 ぢやうきやう
元禄 げんろく
宝永 ほうえい
正徳 しやうとく
享保 きやうほう
元文 げんぶん
寛保 くわんぽう
延享 えんきやう
寛延 くわんえん
宝暦 ほうりやく
明和 めいわ
安永 あんえい
天明 てんめい
寛政 くわんせい
享和 きやうわ
文化 ぶんくわ
文政 ぶんせい
天保 てんぽう
弘化 こうくわ
嘉永 かえい
安政 あんせい
万延 まんえん
文久 ぶんきう
元治 げんぢ
慶応 けいおう
明治 めいぢ
大正 たいしやう
昭和 せうわ
平成 へいせい
