## <https://www.sljfaq.org/afaq/era-list.html>
Taika 大化 たいか
Hakuchi 白雉 はくち
Shuchō 朱鳥 しゅちょう
Taihō 大宝 たいほう
Keiun 慶雲 けいうん
Wadō 和銅 わどう
Reiki 霊亀 れいき
Yōrō 養老 ようろう
Jinki 神亀 じんき
Tempyō 天平 てんぴょう
Tempyōkampō 天平感宝 てんぴょうかんぽう
Tempyōshōhō 天平勝宝 てんぴょうしょうほう
Tempyōjōji 天平宝字 てんぴょうじょうじ
## ^ 誤りか
Tempyōjingo 天平神護 てんぴょうじんご
Jingokeiun 神護景雲 じんごけいうん
Hōki 宝亀 ほうき
Ten'ō 天応 てんおう
Enryaku 延暦 えんりゃく
Daidō 大同 だいどう
Kōnin 弘仁 こうにん
Tenchō 天長 てんちょう
Jōwa 承和 じょうわ
Kashō 嘉祥 かしょう
Ninju 仁寿 にんじゅ
Saikō 斉衡 さいこう
Ten'an 天安 てんあん
Jōgan 貞観 じょうがん
Gangyō 元慶 がんぎょう
Ninna 仁和 にんな
Kampyō 寛平 かんぴょう
Shōtai 昌泰 しょうたい
Engi 延喜 えんぎ
Enchō 延長 えんちょう
Jōhei 承平 じょうへい
Tengyō 天慶 てんぎょう
Tenryaku 天暦 てんりゃく
Tentoku 天徳 てんとく
Ōwa 応和 おうわ
Kōhō 康保 こうほう
Anna 安和 あんな
Tenroku 天禄 てんろく
Ten'en 天延 てんえん
Jōgen 貞元 じょうげん
Tengen 天元 てんげん
Eikan 永観 えいかん
Kanna 寛和 かんな
Eien 永延 えいえん
Eiso 永祚 えいそ
Shōryaku 正暦 しょうりゃく
Chōtoku 長徳 ちょうとく
Chōhō 長保 ちょうほう
Kankō 寛弘 かんこう
Chōwa 長和 ちょうわ
Kannin 寛仁 かんにん
Jian 治安 じあん
Manju 万寿 まんじゅ
Chōgen 長元 ちょうげん
Chōryaku 長暦 ちょうりゃく
Chōkyū 長久 ちょうきゅう
Kantoku 寛徳 かんとく
Eishō 永承 えいしょう
Tengi 天喜 てんぎ
Kōhei 康平 こうへい
Jiryaku 治暦 じりゃく
Enkyū 延久 えんきゅう
Jōhō 承保 じょうほう
Jōryaku 承暦 じょうりゃく
Eihō 永保 えいほう
Ōtoku 応徳 おうとく
Kanji 寛治 かんじ
Kahō 嘉保 かほう
Eichō 永長 えいちょう
Jōtoku 承徳 じょうとく
Kōwa 康和 こうわ
Chōji 長治 ちょうじ
Kajō 嘉承 かじょう
Tennin 天仁 てんにん
Tennei 天永 てんねい
## ^ 誤りか
Eikyū 永久 えいきゅう
Gen'ei 元永 げんえい
Hōan 保安 ほうあん
Tenji 天治 てんじ
Daiji 大治 だいじ
Tenshō 天承 てんしょう
Chōshō 長承 ちょうしょう
Hōen 保延 ほうえん
