# [6061] 歴史読本 2008/1 (日本の公年号を除く)

# p.61
#元[鼎][てい]
元鼎 げんてい

# p.64, p.87
法興 ほうこう

# p.65, p.84
白鳳 はくほう

# p.84
朱雀 すざく

# p.84
建元 けんげん
開国 かいこく
大昌 だいしよう
鴻済 こうさい
建福 けんふく
仁平 にんぺい
太和 たいわ

# p.86
永楽 えいらく
延寿 えんじゆ
永徽 えいき

# p.90
景初 けいしよ
正始 せいし

# p.91
赤烏 せきう
太和 たいわ

# p.92
永昌 えいしよう

# p.96
建文 けんぶん
永楽 えいらく

# p.102
元和 げんな
天保 てんぽう

# p.115
保寿 ほうじゆ
泰平 たいへい
福徳 ふくとく

# p.130
福徳 ふくとく
弥勒 みろく
命禄 めいろく

# p.132
主体 チュチエ

# p.133
康徳 こうとく
隆煕 りゆうき

# p.149
建武中元 けんむちゆうげん
太平真君 たいへいしんくん
天冊万歳 てんさくばんざい
万歳登封 ばんざいとうふう
万歳通天 ばんざいつうてん
太平興国 たいへいこうこく
大中祥符 だいちゆうしょうふ
延嗣寧国 えんしねいこく
天祐垂聖 てんゆうすいせい
福聖承道 ふくせいしようどう
天安礼定 てんあんれいてい
天儀治平 てんぎちへい
天祐民安 てんゆうみんあん
建中靖国 けんちゆうせいこく
始建国 しけんこく
天賜礼盛国慶 てんしれいせいこつけい
