# [6063] 歴史読本 pp. 228-231

安永 あんえい
安元 あんげん
安政 あんせい
安貞 あんてい
安和 あんな
永延 えいえん
永観 えいかん
永久 えいきゆう
永享 えいきよう
永治 えいじ
永承 えいしよう
永仁 えいにん
永正 えいしよう
永長 えいちよう
永徳 えいとく
永保 えいほ
永万 えいまん
永暦 えいりやく
永禄 えいろく
永和 えいわ
永祚 えいそ
延応 えんおう
延喜 えんぎ
延久 えんきゆう
延享 えんきよう
延慶 えんきよう
延元 えんげん
延長 えんちよう
延徳 えんとく
延文 えんぶん
延宝 えんぽう
延暦 えんりやく
応安 おうあん
応永 おうえい
応仁 おうにん
応長 おうちよう
応徳 おうとく
応保 おうほ
応和 おうわ
嘉永 かえい
嘉応 かおう
嘉吉 かきつ
嘉慶 かけい
嘉元 かげん
嘉承 かじよう
嘉祥 かしよう
嘉禎 かてい
嘉保 かほう
嘉暦 かりやく
嘉禄 かろく
乾元 けんげん
寛永 かんえい
寛延 かんえん
寛喜 かんき
寛元 かんげん
寛弘 かんこう
寛治 かんじ
寛仁 かんにん
寛政 かんせい
寛正 かんしよう
寛徳 かんとく
寛文 かんぶん
寛平 かんぴよう
寛保 かんぽう
寛和 かんな
観応 かんのう
久安 きゆうあん
久寿 きゆうじゆ
享徳 きようとく
享保 きようほう
享禄 きようろく
享和 きようわ
興国 こうこく
慶安 けいあん
慶雲 けいうん
慶応 けいおう
慶長 けいちよう
建永 けんえい
建久 けんきゆう
建治 けんじ
建仁 けんにん
建長 けんちよう
建徳 けんとく
建武 けんむ
建保 けんぽう
建暦 けんりやく
元永 げんえい
元応 げんおう
元亀 げんき
元久 げんきゆう
元亨 げんこう
元慶 がんぎよう
元弘 げんこう
元治 げんじ
元仁 げんにん
元中 げんちゆう
元徳 げんとく
元文 げんぶん
元暦 げんりやく
元禄 げんろく
元和 げんな
康安 こうあん
康永 こうえい
康応 こうおう
康元 こうげん
康治 こうじ
康正 こうしよう
康平 こうへい
康保 こうほ
康暦 こうりやく
康和 こうわ
弘安 こうあん
弘化 こうか
弘治 こうじ
弘仁 こうにん
弘長 こうちよう
弘和 こうわ
至徳 しとく
治安 じあん
治承 じしよう
治暦 じりやく
朱雀 すざく
朱鳥 しゆちよう
寿永 じゆえい
承安 しようあん
承応 じようおう
承久 じようきゆう
承元 じようげん
承徳 しようとく
承平 しようへい
承保 しようほう
承暦 しようりやく
承和 じようわ
昌泰 しようたい
昭和 しようわ
神亀 じんき
神護景雲 じんごけいうん
仁安 にんあん
仁治 にんじ
仁寿 にんじゆ
仁平 にんぴよう
仁和 にんな
正安 しようあん
正応 しようおう
正嘉 しようか
正慶 しようきよう
正元 しようげん
正治 しようじ
正中 しようちゆう
正長 しようちよう
正徳 しようとく
正平 しようへい
正保 しようほう
正暦 しようりやく
正和 しようわ
斉衡 さいこう
大永 たいえい
大化 たいか
大治 たいじ
大正 たいしよう
大同 だいどう
大宝 たいほう
長寛 ちようかん
長久 ちようきゆう
長享 ちようきよう
長元 ちようげん
長治 ちようじ
長承 ちようしよう
長徳 ちようとく
長保 ちようほう
長暦 ちようりやく
長禄 ちようろく
長和 ちようわ
貞永 じようえい
貞応 じようおう
貞観 じようがん
貞享 じようきよう
貞元 じようげん
貞治 じようじ
貞和 じようわ
天安 てんあん
天永 てんえい
天延 てんえん
天応 てんおう
天喜 てんぎ
天慶 てんぎよう
天元 てんげん
天治 てんじ
天授 てんじゆ
天承 てんしよう
天仁 てんにん
天正 てんしよう
天長 てんちよう
天徳 てんとく
天福 てんぷく
天文 てんぶん
天平 てんぴよう
天平感宝 てんぴようかんぽう
天平勝宝 てんぴようしようほう
天平神護 てんぴようじんご
天平宝字 てんぴようほうじ
天保 てんぽう
天明 てんめい
天養 てんよう
天暦 てんりやく
天禄 てんろく
天和 てんな
徳治 とくじ
白鳳 はくほう
白雉 はくち
文安 ぶんあん
文永 ぶんえい
文応 ぶんおう
文化 ぶんか
文亀 ぶんき
文久 ぶんきゆう
文治 ぶんじ
文政 ぶんせい
文正 ぶんしよう
文中 ぶんちゆう
文保 ぶんぽう
文明 ぶんめい
文暦 ぶんりやく
文禄 ぶんろく
文和 ぶんな
平治 へいじ
平成 へいせい
保安 ほうあん
保延 ほうえん
保元 ほうげん
宝永 ほうえい
宝亀 ほうき
宝治 ほうじ
宝徳 ほうとく
宝暦 ほうれき
万延 まんえん
万治 まんじ
万寿 まんじゆ
明応 めいおう
明治 めいじ
明徳 めいとく
明暦 めいれき
明和 めいわ
養老 ようろう
養和 ようわ
霊亀 れいき
暦応 りやくおう
暦仁 りやくにん
和銅 わどう
