# [6068] 元号通覧 (元号考) ルビ

大化 たいくわ
白雉 はくち
白鳳 はくほう
朱鳥 しゆてう あかみとり
大宝 たいはう
慶雲 きやううん
和銅 わどう
霊亀 れいき
養老 やうらう
神亀 じんぎ
天平 てんびやう
天平感宝 てんびやうかんはう
天平勝宝 てんびやうしようはう
天平宝字 てんびやうはうじ
天平神護 てんびやうじんご
神護景雲 じんごけいうん
宝亀 はうき
天応 てんのう
延暦 えんりやく
大同 だいどう
弘仁 こうにん
天長 てんちやう
承和 そうわ じようわ
嘉祥 かじやう
仁寿 にんじゆ
斉衡 さいかう
天安 てんなん
貞観 ぢやうぐわん
元慶 ぐわんぎやう
仁和 にんな
寛平 くわんぺい くわんべい
昌泰 しやうたい
延喜 えんぎ
延長 えんちやう
承平 しようへい じようへい
天慶 てんきやう
天暦 てんりやく
天徳 てんとく
応和 おうわ
康保 かうはう
安和 あんな
天禄 てんろく
天延 てんねん
貞元 ぢやうぐゑん
天元 てんぐゑん
永観 えいくわん
寛和 くわんな
永延 えいえん
永祚 えいそ
正暦 しやうりやく
長徳 ちやうとく
長保 ちやうはう
寛弘 くわんこう
長和 ちやうわ
寛仁 くわんにん
治安 ちあん
万寿 まんじゆ
長元 ちやうぐゑん
長暦 ちやうりやく
長久 ちやうきう
寛徳 くわんとく
永承 えいしよう えいじよう
天喜 てんぎ
康平 かうへい
治暦 ちりやく
延久 えんきう
承保 じようはう
承暦 しようりやく
永保 えいはう
応徳 おうとく
寛治 くわんぢ
嘉保 かはう
永長 えいちやう
承徳 じようとく
康和 かうわ
長治 ちやうぢ
嘉承 かじよう
天仁 てんにん
天永 てんねい
永久 えいきう
元永 ぐゑんえい
保安 はうあん
天治 てんち てんぢ
大治 だいぢ たいぢ
天承 てんしよう
長承 ちやうしよう ちやうじよう
保延 はうえん
永治 えいぢ
康治 こうぢ
天養 てんにやう
久安 きうあん
仁平 にんぺい にんびやう
久寿 きうじゆ
保元 はうぐゑん
平治 へいぢ
永暦 えいりやく
応保 おうはう
長寛 ちやうくわん
永万 えいまん
仁安 にんなん
嘉応 かおう
承安 じようあん
安元 あんぐゑん
治承 ぢしよう ぢじよう
養和 やうわ
寿永 じゆえい
元暦 ぐゑんりやく
文治 ぶんぢ
建久 けんきう
正治 しやうぢ
建仁 けんにん
元久 ぐゑんきう
建永 けんえい
承元 じようぐゑん
建暦 けんりやく
建保 けんぱう
承久 じようきう
貞応 ぢやうおう
元仁 ぐゑんにん
嘉禄 かろく
安貞 あんてい
寛喜 くわんき
貞永 ぢやうえい
天福 てんぷく
文暦 ぶんりやく
嘉禎 かてい
暦仁 りやくにん
延応 えんのう
仁治 にんぢ
寛元 くわんぐゑん
宝治 はうじ
#建長 ルビなし
康元 かうぐゑん
正嘉 しやうが
正元 しやうぐゑん
文応 ぶんのう
#弘長 ルビなし
#文永 ルビなし
建治 けんぢ
弘安 こうあん
正応 しやうおう
永仁 えいにん
正安 しやうあん
乾元 けんぐゑん
嘉元 かぐゑん
徳治 とくぢ
延慶 えんけい
応長 おうちやう
正和 しやうわ
文保 ぶんぱう
元応 ぐゑんのう
元亨 ぐゑんかう
正中 しやうちゆう
嘉暦 かれき
元徳 ぐゑんとく
元弘 ぐゑんこう
建武 けんむ
延元 えんぐゑん
興国 こうこく
正平 しやうへい
建徳 けんとく
文中 ぶんちゆう
天授 てんじゆ
弘和 こうわ
元中 ぐゑんちゆう
正慶 しやうけい
暦応 れきおう
康永 かうえい
貞和 ぢやうわ
観応 くわんのう
文和 ぶんな
延文 えんぶん
康安 かうあん
貞治 ていぢ
応安 おうあん
永和 えいわ
康暦 かうりやく
永徳 えいとく
至徳 しとく
嘉慶 かきやう
康応 かうおう
明徳 めいとく
応永 おうえい
正長 しやうちやう
永享 えいきやう
嘉吉 かきつ
文安 ぶんなん
宝徳 はうとく
享徳 きやうとく
康正 かうしやう
長禄 ちやうろく
寛正 くわんしやう
文正 ぶんしやう
応仁 おうにん
文明 ぶんめい
長享 ちやうきやう
延徳 えんとく
明応 めいおう
文亀 ぶんき
永正 えいしやう
大永 だいえい
享禄 きやうろく
天文 てんぶん
弘治 こうぢ
永禄 えいろく
元亀 ぐゑんき
天正 てんしやう
文禄 ぶんろく
慶長 きやうちやう
元和 ぐゑんな
寛永 くわんねい
正保 しやうほう
慶安 きやうあん
承応 じようおう
明暦 めいりやく
万治 まんじ
寛文 くわんぶん
延宝 えんぱう
天和 てんな
#貞享 ルビなし
元禄 ぐゑんろく
宝永 はうえい
正徳 しやうとく
享保 きやうはう
元文 ぐゑんぶん
#寛保 ルビなし
延享 えんきやう
寛延 くわんねん
#宝暦 ルビなし
明和 めいわ
#安永 ルビなし
天明 てんめい
寛政 くわんせい
享和 きやうわ
文化 ぶんくわ
文政 ぶんせい
#天保 ルビなし
#弘化 ルビなし
嘉永 かえい
安政 あんせい
万延 まんえん
#文久 ルビなし
#元治 ルビなし
#慶応 ルビなし
#明治 ルビなし
#大正 ルビなし
