## <https://kanjinowa.com/gengou.html>
大化 たいか
白雉 はくち
朱鳥 しゅちょう
大宝 たいほう
慶雲 けいうん
和銅 わどう
霊亀 れいき
養老 ようろう
神亀 じんき
天平 てんぴょう
天平感宝 てんぴょうかんぽう
天平勝宝 てんぴょうしょうほう
天平宝字 てんぴょうほうじ
天平神護 てんぴょうじんご
神護景雲 じんごけいうん
宝亀 ほうき
天応 てんおう
延暦 えんりゃく
大同 だいどう
弘仁 こうにん
天長 てんちょう
承和 じょうわ
嘉祥 かしょう
仁寿 にんじゅ
斉衡 さいこう
天安 てんあん
貞観 じょうがん
元慶 がんぎょう
仁和 にんな
寛平 かんぴょう
昌泰 しょうたい
延喜 えんぎ
延長 えんちょう
承平 じょうへい
天慶 てんぎょう
天暦 てんりゃく
天徳 てんとく
応和 おうわ
康保 こうほう
安和 あんな
天禄 てんろく
天延 てんえん
貞元 じょうげん
天元 てんげん
永観 えいかん
寛和 かんな
永延 えいえん
永祚 えいそ
正暦 しょうりゃく
長徳 ちょうとく
長保 ちょうほう
寛弘 かんこう
長和 ちょうわ
寛仁 かんにん
治安 じあん
万寿 まんじゅ
長元 ちょうげん
長暦 ちょうりゃく
長久 ちょうきゅう
寛徳 かんとく
永承 えいしょう
天喜 てんき
康平 こうへい
治暦 じりゃく
延久 えんきゅう
承保 じょうほう
承暦 じょうりゃく
永保 えいほう
応徳 おうとく
寛治 かんじ
嘉保 かほう
永長 えいちょう
承徳 じょうとく
康和 こうわ
長治 ちょうじ
嘉承 かしょう
天仁 てんにん
天永 てんえい
永久 えいきゅう
元永 げんえい
保安 ほうあん
天治 てんじ
大治 だいじ
天承 てんしょう
長承 ちょうしょう
保延 ほうえん
永治 えいじ
康治 こうじ
天養 てんよう
久安 きゅうあん
仁平 にんぺい
久寿 きゅうじゅ
保元 ほうげん
平治 へいじ
永暦 えいりゃく
応保 おうほう
長寛 ちょうかん
永万 えいまん
仁安 にんあん
嘉応 かおう
承安 しょうあん
安元 あんげん
治承 じしょう
養和 ようわ
寿永 じゅえい
元暦 げんりゃく
文治 ぶんじ
建久 けんきゅう
正治 しょうじ
建仁 けんにん
元久 げんきゅう
建永 けんえい
承元 じょうげん
建暦 けんりゃく
建保 けんぽう
承久 じょうきゅう
貞応 じょうおう
元仁 げんにん
嘉禄 かろく
安貞 あんてい
寛喜 かんき
貞永 じょうえい
天福 てんぷく
文暦 ぶんりゃく
嘉禎 かてい
暦仁 りゃくにん
延応 えんおう
仁治 にんじ
寛元 かんげん
宝治 ほうじ
建長 けんちょう
康元 こうげん
正嘉 しょうか
正元 しょうげん
文応 ぶんおう
弘長 こうちょう
文永 ぶんえい
建治 けんじ
弘安 こうあん
正応 しょうおう
永仁 えいにん
正安 しょうあん
乾元 けんげん
嘉元 かげん
徳治 とくじ
延慶 えんきょう
応長 おうちょう
正和 しょうわ
文保 ぶんぽう
元応 げんおう
元亨 げんこう
正中 しょうちゅう
嘉暦 かりゃく
元徳 げんとく
元弘 げんこう
正慶 しょうきょう
建武 けんむ
延元 えんげん
興国 こうこく
正平 しょうへい
建徳 けんとく
文中 ぶんちゅう
天授 てんじゅ
弘和 こうわ
元中 げんちゅう
暦応 りゃくおう
康永 こうえい
貞和 じょうわ
観応 かんのう
文和 ぶんな
延文 えんぶん
康安 こうあん
貞治 じょうじ
応安 おうあん
永和 えいわ
康暦 こうりゃく
永徳 えいとく
至徳 しとく
嘉慶 かきょう
康応 こうおう
明徳 めいとく
応永 おうえい
正長 しょうちょう
永享 えいきょう
嘉吉 かきつ
文安 ぶんあん
宝徳 ほうとく
享徳 きょうとく
康正 こうしょう
長禄 ちょうろく
寛正 かんしょう
文正 ぶんしょう
応仁 おうにん
文明 ぶんめい
長享 ちょうきょう
延徳 えんとく
明応 めいおう
文亀 ぶんき
永正 えいしょう
大永 だいえい
享禄 きょうろく
天文 てんぶん
弘治 こうじ
永禄 えいろく
元亀 げんき
天正 てんしょう
文禄 ぶんろく
慶長 けいちょう
元和 げんな
寛永 かんえい
正保 しょうほう
慶安 けいあん
承応 じょうおう
明暦 めいれき
万治 まんじ
寛文 かんぶん
延宝 えんぽう
天和 てんな
貞享 じょうきょう
元禄 げんろく
宝永 ほうえい
正徳 しょうとく
享保 きょうほう
元文 げんぶん
寛保 かんぽう
延享 えんきょう
寛延 かんえん
宝暦 ほうれき
明和 めいわ
安永 あんえい
天明 てんめい
寛政 かんせい
享和 きょうわ
文化 ぶんか
文政 ぶんせい
天保 てんぽう
弘化 こうか
嘉永 かえい
安政 あんせい
万延 まんえん
文久 ぶんきゅう
元治 げんじ
慶応 けいおう
明治 めいじ
大正 たいしょう
昭和 しょうわ
平成 へいせい
