## <http://www.meijigakuin.ac.jp/~watson/ref/nengo.html>
大化 Taika
白雉 Hakuchi
朱鳥 Hakuhou
## ^ 誤りか
大宝 Taihou
慶雲 Keiun
和銅 Wadou
霊亀 Reiki
養老 Yourou
神亀 Shinki
天平 Tenpyou
天平感宝 Tenpyou-kanpou
天平勝宝 Tenpyou-shouhou
天平宝字 Tenpyou-houji
天平神護 Tenpyou-jingo
神護景雲 Jingo-keiun
宝亀 Houki
天応 Ten'ou
延暦 Enryaku
大同 Daidou
弘仁 Kounin
天長 Tenchou
承和 Shouwa
嘉祥 Kajou
仁寿 Ninju
斉衡 Saikou
天安 Tennan
貞観 Jougan
元慶 Genkei
仁和 Ninna
寛平 Kanpyou
昌泰 Shoutai
延喜 Engi
延長 Enchou
承平 Shouhei
天慶 Tengyou
天暦 Tenryaku
天徳 Tentoku
応和 Ouwa
康保 Kouhou
安和 Anna
天禄 Tenroku
天延 Ten'en
貞元 Jougen
天元 Tengen
永観 Eikan
寛和 Kanna
永延 Eien
永祚 Eiso
正暦 Shouryaku
長徳 Choutoku
長保 Chouhou
寛弘 Kankou
長和 Chouwa
寛仁 Kannin
治安 Jian
万寿 Manju
長元 Chougen
長暦 Chouryaku
長久 Choukyuu
寛徳 Kantoku
永承 Eishou
天喜 Tengi
康平 Kouhei
治暦 Jiryaku
延久 Enkyuu
承保 Jouhou
承暦 Shouryaku
永保 Eihou
応徳 Outoku
寛治 Kanji
嘉保 Kahou
永長 Eichou
承徳 Joutoku
康和 Kouwa
長治 Chouji
嘉承 Kajou
天仁 Tennin
天永 Ten'ei
永久 Eikyuu
元永 Gen'ei
保安 Houan
天治 Tenji
大治 Daiji
天承 Tenshou
長承 Choushou
保延 Houen
永治 Eiji
康治 Kouji
天養 Ten'you
久安 Kyuuan
仁平 Ninpei
久寿 Kyuuju
保元 Hougen
平治 Heiji
永暦 Eiryaku
応保 Ouhou
長寛 Choukan
永万 Eiman
仁安 Ninnan
嘉応 Kaou
承安 Shouan
安元 Angen
治承 Jishou
養和 Youwa
寿永 Juei
元暦 Genryaku
文治 Bunji
建久 Kenkyuu
正治 Shouji
建仁 Kennin
元久 Genkyuu
建永 Ken'ei
承元 Jougen
建暦 Kenryaku
建保 Kempou
承久 Joukyuu
貞応 Jouou
元仁 Gennin
嘉禄 Karoku
安貞 Antei
寛喜 Kanki
貞永 Jouei
天福 Tenpuku
文暦 Benryaku
嘉禎 Katei
暦仁 Ryakunin
延応 En'ou
仁治 Ninji
寛元 Kangen
宝治 Houji
建長 Kenchou
康元 Kougen
正嘉 Shouka
正元 Shougen
文応 Bun'ou
弘長 Kouchou
文永 Bun'ei
建治 Kenji
弘安 Kouan
正応 Shouou
永仁 Einin
正安 Shouan
乾元 Kengen
嘉元 Kagen
徳治 Tokuji
延慶 Enkyou
応長 Ouchou
正和 Shouwa
文保 Bunpou
元応 Gen'ou
元亨 Genkou
正中 Shouchuu
嘉暦 Karyaku
元徳 Gentoku
元弘 Genkou
建武 Kenmu
延元 Engen
興国 Koukoku
正平 Shouhei
建徳 Kentoku
文中 Bunchuu
天授 Tenju
弘和 Kouwa
元中 Genchuu
明徳 Meitoku
応永 Ouei
正長 Shouchou
永享 Eikyou
嘉吉 Kakitsu
文安 Bunnan
宝徳 Houtoku
享徳 Kyoutoku
康正 Koushou
長禄 Chouroku
寛正 Kanshou
文正 Bunshou
応仁 Ounin
文明 Bunmei
長享 Choukyou
延徳 Entoku
明応 Meiou
文亀 Bunki
永正 Eishou
大永 Daiei
享禄 Kyouroku
天文 Tenmon
弘治 Kouji
永禄 Eiroku
元亀 Genki
天正 Tenshou
文禄 Bunroku
慶長 Keichou
元和 Genna
寛永 Kan'ei
正保 Shouhou
慶安 Keian
承応 Jouou
明暦 Meireki
万治 Manji
寛文 Kanbun
延宝 Enpou
天和 Tenna
貞享 Joukyou
元禄 Genroku
宝永 Houei
正徳 Shoutoku
享保 Kyouhou
元文 Genbun
寛保 Kanpou
延享 Enkyou
寛延 Kan'en
宝暦 Houreki
明和 Meiwa
安永 An'ei
天明 Tenmei
寛政 Kansei
享和 Kyouwa
文化 Bunka
文政 Bunsei
天保 Tenpou
弘化 Kouka
嘉永 Kaei
安政 Ansei
万延 Man'en
文久 Bunkyuu
元治 Genji
慶応 Keiou
明治 Meiji
大正 Taishou
昭和 Shouwa
平成 Heisei
