## <http://www.jlit.net/reference/history/era-names.html>
Taika 大化
Hakuchi 白雉
Hakuhō 白鳳
Shuchō 朱鳥
Taihō 大宝
Keiun 慶雲
Wadō 和銅
Reiki 霊亀
Yōrō 養老
Jinki 神亀
Tenpyō 天平
Tenpyō_Kanpō 天平感宝
Tenpyō_Shōhō 天平勝宝
Tenpyō_Hōji 天平宝字
Tenpyō_Shingo 天平神護
Jingo_Keiun 神護景雲
Hōki 宝亀
Ten'ō 天応
Enryaku 延暦
Daidō 大同
Kōnin 弘仁
Tenchō 天長
Jōwa 承和
Kashō 嘉祥
Ninju 仁寿
Saikō 斉衡
Tennan 天安
Jōgan 貞観
Gangyō 元慶
Ninna 仁和
Kanpei 寛平
Shōtai 昌泰
Engi 延喜
Enchō 延長
Jōhei Shōhei 承平
#丞平
Tengyō 天慶
Tenryaku 天暦
Tentoku 天徳
Ōwa 応和
Kōhō 康保
Anna 安和
Tenroku 天禄
Ten'en 天延
Jōgen 貞元
Tengen 天元
Eikan 永観
Kanwa 寛和
Eien 永延
Eiso 永祚
Shōryaku 正暦
Chōtoku 長徳
Chōho 長保
Kankō 寛弘
Chōwa 長和
Kan'in 寛仁
## ^ 誤りか
Jian 治安
Manju 万寿
Chōgen 長元
Chōryaku 長暦
Chōkyū 長久
Kantoku 寛徳
Eishō 永承
Tenki 天喜
Kōhei 康平
Jiryaku 治暦
Enkyū 延久
Shōhō 承保
Shōryaku 承暦
Eiho 永保
Ōtoku 応徳
Kanji 寛治
Kahō 嘉保
Eichō 永長
Shōtoku 承徳
Kōwa 康和
Chōji 長治
Kashō 嘉承
Tennin 天仁
Ten'ei 天永
Eikyū 永久
Genei 元永
Hōan 保安
Tenji 天治
Taiji 大治
Tenshō 天承
Chōshō 長承
Hōen 保延
Eiji 永治
Kōji 康治
Ten'yō 天養
Kyūan 久安
Ninpei 仁平
Kyūju 久寿
Hōgen 保元
Heiji 平治
Eiryaku 永暦
Ōhō 応保
Chōkan 長寛
Eiman 永万
Nin'an 仁安
Kaō 嘉応
Shōan 承安
Angen 安元
Jishō 治承
Yōwa 養和
Juei 寿永
Genryaku 元暦
Bunji 文治
Kenkyū 建久
Shōji 正治
Kennin 建仁
Genkyū 元久
Ken'ei 建永
Shōgen 承元
Kenryaku 建暦
Kenpō 建保
Jōkyū 承久
Jōō 貞応
Gennin 元仁
Karoku 嘉禄
Antei 安貞
Kanki 寛喜
Jōei 貞永
Tenpuku 天福
Bunryaku 文暦
Katei 嘉禎
Ryakunin 暦仁
En'ō 延応
Ninji 仁治
Kangen 寛元
Hōji 宝治
Kenchō 建長
Kōgen 康元
Shōka 正嘉
Shōgen 正元
Bun'ō 文応
Kōchō 弘長
Bun'ei 文永
Kenji 建治
Kōan 弘安
Shōō 正応
Einin 永仁
Shōan 正安
Kengen 乾元
Kagen 嘉元
Tokuji 徳治
Enkyō 延慶
Ōchō 応長
Shōwa 正和
Bunpō 文保
Gen'ō 元応
Genkō 元亨
## ^ 誤りか
Shōchū 正中
Karyaku 嘉暦
Gentoku 元徳
Genkō 元弘
Kenmu 建武
Engen 延元
Kōkoku 興国
Shōhei 正平
Kentoku 建徳
Bunchū 文中
Tenju 天授
Kōwa 弘和
Genchū 元中
Shōkyō 正慶
Ryakuō 暦応
Kōei 康永
Jōwa 貞和
Kannō 観応
Bunwa 文和
Enbun 延文
Kōan 康安
Jōji 貞治
Ōan 応安
Eiwa 永和
Kōryaku 康暦
Eitoku 永徳
Shitoku 至徳
Kakei 嘉慶
Kōō 康応
Meitoku 明徳
Ōei 応永
Shōchō 正長
Eikyō 永享
Kakitsu 嘉吉
Bun'an 文安
Hōtoku 宝徳
Kyōtoku 享徳
Kōshō 康正
Chōroku 長禄
Kanshō 寛正
Bunshō 文正
Ōnin 応仁
Bunmei 文明
Chōkyō 長享
Entoku 延徳
Meiō 明応
Bunki 文亀
Eishō 永正
Taiei 大永
Kyōroku 享禄
Tenbun 天文
Kōji 弘治
Eiroku 永禄
Genki 元亀
Tenshō 天正
Bunroku 文禄
Keichō 慶長
Genna 元和
Kan'ei 寛永
Shōhō 正保
Keian 慶安
Shōō 承応
Meireki 明暦
Manji 万治
Kanbun 寛文
Enpō 延宝
Tenna 天和
Jōkyō 貞享
Genroku 元禄
Hōei 宝永
Shōtoku 正徳
Kyōhō 享保
Genbun 元文
Kanpō 寛保
Enkyō 延享
Kan'en 寛延
Hōreki 宝暦
Meiwa 明和
An'ei 安永
Tenmei 天明
Kansei 寛政
Kyōwa 享和
Bunka 文化
Bunsei 文政
Tenpō 天保
Kōka 弘化
Kaei 嘉永
Ansei 安政
Man'en 万延
Bunkyū 文久
Genji 元治
Keiō 慶応
Meiji 明治
Taishō 大正
Shōwa 昭和
Heisei 平成
Reiwa 令和
