白雉 びゃくち
神亀 しんき
天平 てんびょう
天平 てんへい
天平 てんぺい
天平感宝 てんびょうかんぽう
天平感宝 てんぴょうかんほう
天平感宝 てんぺいかんほう
天平勝宝 てんびょうしょうぼう
天平勝宝 てんぺいしょうほう
天平宝字 てんびょうほうじ
天平宝字 てんぺいほうじ
天平神護 てんびょうじんご
天平神護 てんへいじんご
天平神護 てんぺいじんご
承和 そうわ
元慶 げんけい
元慶 がんきょう
寛平 かんべい
寛平 かんぺい
寛平 かんへい
天慶 てんけい
天暦 てんれき
貞元 ていげん
永観 ようかん
永延 ようえん
正暦 じょうりゃく
正暦 しょうれき
治安 ちあん
長暦 ちょうれき
永承 えいじょう
永承 ようじょう
康平 こうぺい
治暦 ちりゃく
承暦 しょうりゃく
承暦 しょうれき
永長 ようちょう
嘉承 かそう
大治 たいじ
大治 たいち
永治 えいち
康治 こうち
仁平 にんべい
仁平 にんびょう
仁平 にんひょう
仁平 にんへい
平治 びょうじ
平治 へいち
永暦 ようりゃく
永万 ようまん
仁安 にんなん
承安 じょうあん
治承 じじょう
治承 ちしょう
文治 もんち
承元 しょうげん
建保 けんほう
建保 けんほ
承久 しょうきゅう
貞応 ていおう
寛喜 かんぎ
貞永 ていえい
天福 てんふく
文暦 もんりゃく
文暦 もんれき
暦仁 れきにん
延応 えんのう
仁治 にんち
建治 けんち
延慶 えんきょう
延慶 えんぎょう
延慶 えんけい
文保 ぶんほう
元応 げんのう
建武 けんぶ
正慶 しょうきょう
正慶 しょうけい
暦応 れきおう
貞和 ていわ
貞治 ていじ
嘉吉 かきち
享徳 こうとく
文正 もんしょう
大永 たいえい
慶長 きょうちょう
元和 げんわ
承応 しょうおう
明暦 みょうりゃく
明暦 めいりゃく
貞享 ちょうきょう
享保 きょうほ
寛保 かんほう
宝暦 ほうりゃく
天保 てんほう
天保 てんぽ
