$jp-north:
g:1338-10-19 暦応
g:1342-06-09 康永
g:1345-11-23 貞和
g:1350-04-12 観応
g:1352-11-12 文和
g:1356-05-07 延文
g:1361-05-12 康安
g:1362-10-19 貞治
g:1368-03-15 応安
g:1375-04-06 永和
g:1379-04-17 康暦
g:1381-03-28 永徳
g:1384-03-27 至徳
g:1387-10-13 嘉慶
g:1389-03-15 康応
g:1390-04-20 明徳

$jp-north0:
g:1332-05-31 正慶

$jp-other:
g:0645-07-20 大化
g:0650-03-25 白雉
g:0686-08-17 朱鳥
g:0701-05-07 大宝
g:0704-06-20 慶雲
g:0708-02-11 和銅
g:0715-10-07 霊亀
g:0717-12-28 養老
g:0724-03-07 神亀
g:0729-09-06 天平
g:0749-05-08 天平感宝
g:0749-08-23 天平勝宝
g:0757-09-10 天平宝字
g:0765-02-05 天平神護
g:0767-09-17 神護景雲
g:0770-10-27 宝亀
g:0781-02-03 天応
g:0782-10-04 延暦
g:0806-06-12 大同
g:0810-10-24 弘仁
g:0824-02-12 天長
g:0834-02-18 承和
g:0848-07-20 嘉祥
g:0851-06-05 仁寿
g:0854-12-27 斉衡
g:0857-03-24 天安
g:0859-05-24 貞観
g:0877-06-05 元慶
g:0885-03-15 仁和
g:0889-06-03 寛平
g:0898-05-24 昌泰
g:0901-09-05 延喜
g:0923-06-03 延長
g:0931-05-21 承平
g:0938-06-27 天慶
g:0947-05-20 天暦
g:0957-11-26 天徳
g:0961-03-10 応和
g:0964-08-24 康保
g:0968-09-13 安和
g:0970-05-08 天禄
g:0974-01-21 天延
g:0976-08-16 貞元
g:0979-01-05 天元
g:0983-06-03 永観
g:0985-05-24 寛和
g:0987-05-10 永延
g:0989-09-15 永祚
g:0990-12-01 正暦
g:0995-03-30 長徳
g:0999-02-06 長保
g:1004-08-14 寛弘
g:1013-02-14 長和
g:1017-05-27 寛仁
g:1021-03-23 治安
g:1024-08-25 万寿
g:1028-08-24 長元
g:1037-05-15 長暦
g:1040-12-22 長久
g:1044-12-22 寛徳
g:1046-05-28 永承
g:1053-02-08 天喜
g:1058-09-25 康平
g:1065-09-10 治暦
g:1069-05-12 延久
g:1074-09-22 承保
g:1077-12-11 承暦
g:1081-03-28 永保
g:1084-03-21 応徳
g:1087-05-17 寛治
g:1095-01-29 嘉保
g:1097-01-09 永長
g:1098-01-02 承徳
g:1099-09-21 康和
g:1104-03-15 長治
g:1106-05-20 嘉承
g:1108-09-16 天仁
g:1110-08-07 天永
g:1113-09-01 永久
g:1118-05-02 元永
g:1120-05-16 保安
g:1124-05-25 天治
g:1126-02-22 大治
g:1131-03-07 天承
g:1132-09-28 長承
g:1135-06-17 保延
g:1141-08-20 永治
g:1142-06-01 康治
g:1144-04-04 天養
g:1145-08-19 久安
g:1151-02-21 仁平
g:1154-12-11 久寿
g:1156-05-25 保元
g:1159-05-16 平治
g:1160-02-25 永暦
g:1161-10-01 応保
g:1163-05-11 長寛
g:1165-07-21 永万
g:1166-09-30 仁安
g:1169-05-13 嘉応
g:1171-06-03 承安
g:1175-08-23 安元
g:1177-09-05 治承
g:1181-09-01 養和
