BC660 神武天皇 じんむてんのう Jimmu-tennō
BC581 綏靖天皇 すいぜいてんのう Suizei-tennō
BC548 安寧天皇 あんねいてんのう Annei-tennō
BC510 懿徳天皇 いとくてんのう Itoku-tennō
BC475 孝昭天皇 こうしょうてんのう Kōshō-tennō
BC392 孝安天皇 こうあんてんのう Kōan-tennō
BC290 孝霊天皇 こうれいてんのう Kōrei-tennō
BC214 孝元天皇 こうげんてんのう Kōgen-tennō
BC157 開化天皇 かいかてんのう Kaika-tennō
BC97 崇神天皇 すじんてんのう Sujin-tennō
BC29 垂仁天皇 すいにんてんのう Suinin-tennō
71 景行天皇 けいこうてんのう Keikō-tennō
131 成務天皇 せいむてんのう Seimu-tennō
192 仲哀天皇 ちゅうあいてんのう Chūai-tennō
201 神功皇后摂政 じんぐうこうごうせっしょう Jingū-kōgō-sesshō
270 応神天皇 おうじんてんのう Ōjin-tennō
313 仁徳天皇 にんとくてんのう Nintoku-tennō
400 履中天皇 りちゅうてんのう Richū-tennō
406 反正天皇 はんぜいてんのう Hanzei-tennō
412 允恭天皇 いんぎょうてんのう Ingyō-tennō
454 安康天皇 あんこうてんのう Ankō-tennō
457 雄略天皇 ゆうりゃくてんのう Yūryaku-tennō
480 清寧天皇 せいねいてんのう Seinei-tennō
485 顕宗天皇 けんぞうてんのう Kenzō-tennō
488 仁賢天皇 にんけんてんのう Ninken-tennō
499 武烈天皇 ぶれつてんのう Buretsu-tennō
507 継体天皇 けいたいてんのう Keitai-tennō
532 安閑天皇 あんかんてんのう Ankan-tennō
536 宣化天皇 せんかてんのう Senka-tennō
540 欽明天皇 きんめいてんのう Kinmei-tennō
572 敏達天皇 びだつてんのう Bidatsu-tennō
586 用明天皇 ようめいてんのう Yōmei-tennō
588 崇峻天皇 すしゅんてんのう Sushun-tennō
593 推古天皇 すいこてんのう Suiko-tennō
629 舒明天皇 じょめいてんのう Jomei-tennō
642 皇極天皇 こうぎょくてんのう Kōgyoku-tennō

645 孝徳天皇 こうとくてんのう Kōtoku-tennō

655 斉明天皇 さいめいてんのう Saimei-tennō
662 天智天皇 てんじてんのう Tenji-tennō

672 弘文天皇 こうぶんてんのう Kōbun-tennō

672 天武天皇 てんむてんのう Tenmu-tennō

687 持統天皇 じとうてんのう Jitō-tennō
697 文武天皇 もんむてんのう Monmu-tennō
