# y~606 建始(辛酉)
# + tag 2562 #前涼
# - tag 2577 #李儼
# - tag 2439 #司馬穎
# <https://data.suikawiki.org/tag/1922/graph?sequence=606%2B2562-2577-2439>
# y~1365 has multiple nexts: 493,1892
# y~489 has multiple nexts: 589,1893
# y~1666 has multiple nexts: 1846,1847
# g:0301-02-04+0 y~606 firstday
mjd:-568969 建始(辛酉)
# g:0301-06-02+0 y~884 firstday
mjd:-568851 永寧(辛酉)
# g:0303-01-27+0 y~1168 firstday
mjd:-568247 太安
# g:0304-03-01+0 y~1397 firstday
mjd:-567848 永安(甲子)
# g:0305-02-05+0 y~807 firstday
mjd:-567507 永興(甲子)
# g:0306-07-14+0 y~1113 firstday
mjd:-566983 光熙
# g:0307-02-20+0 y~51 firstday
mjd:-566762 永嘉
# g:0313-06-08+0 y~1112 firstday
mjd:-564462 建興(癸酉)
# g:0354-03-11+0 y~167 firstday
mjd:-549576 和平(甲寅)
# g:0355-11-21+0 y~1112 firstday
mjd:-548956 建興(癸酉)
# g:0362-02-11+0 y~934 commenced
mjd:-546682 昇平
# g:0372-01-07+0 y~1060 commenced
mjd:-543065 咸安
# g:0376-09-30+1 y~974 wartime
mjd:-541336 建元(乙丑)
# g:0384-01-10+0 y~153 administrative
mjd:-538679 太元(丙子)
# g:0397-02-14+0 y~1696 firstday
mjd:-533895 隆安
# g:0402-02-19+0 y~1582 firstday
mjd:-532064 元興(壬寅)
# g:0402-04-22+0 y~1696 firstday
mjd:-532002 隆安
# g:0402-04-23+0 y~1269 firstday
mjd:-532001 大亨
# g:0404-01-02+0 y~1845 firstday
mjd:-531382 建始(癸卯)
# g:0404-06-24+0 y~441 renamed
mjd:-531208 永始(癸卯)
# g:0405-02-15+0 y~1021 firstday
mjd:-530972 天康
# g:0405-04-15+1 y~591 wartime
mjd:-530912 義熙
# g:0419-02-12+0 y~676 firstday
mjd:-525862 元熙
# g:0420-07-11+0 y~1653 firstday
mjd:-525347 永初(庚申)
# g:0423-01-29+0 y~445 firstday
mjd:-524415 景平
# g:0424-09-18+0 y~1074 firstday
mjd:-523817 元嘉(甲子)
# g:0453-03-17+0 y~984 firstday
mjd:-513410 太初(癸巳)
# g:0453-05-28+0 y~1074 firstday
mjd:-513338 元嘉(甲子)
# g:0454-02-15+0 y~732 firstday
mjd:-513075 孝建
# g:0457-02-11+0 y~1087 firstday
mjd:-511983 大明
# g:0465-02-13+0 y~1426 firstday
mjd:-509059 永光(乙巳)
# g:0465-09-19+0 y~1497 firstday
mjd:-508841 景和
# g:0466-01-10+0 y~777 firstday
mjd:-508728 泰始(乙巳)
# g:0472-01-27+0 y~794 firstday
mjd:-506520 泰豫
# g:0473-02-14+0 y~1613 firstday
mjd:-506136 元徽
# g:0477-08-08+0 y~836 firstday
mjd:-504500 昇明
# g:0479-05-30+0 y~809 firstday
mjd:-503840 建元(己未)
# g:0483-01-26+0 y~1271 firstday
mjd:-502503 永明
# g:0494-01-24+0 y~752 firstday
mjd:-498487 隆昌
# g:0494-09-11+0 y~1663 firstday
mjd:-498257 延興(甲戌)
# g:0494-12-06+0 y~831 firstday
mjd:-498171 建武(甲戌)
# g:0498-05-10+0 y~1587 firstday
mjd:-496920 永泰
# g:0499-01-29+0 y~1337 firstday
mjd:-496656 永元(己卯)
# g:0502-01-02+1 y~1404 wartime
mjd:-495587 中興(辛巳)
# g:0502-05-02+0 y~29 firstday
mjd:-495468 天監
# g:0520-02-06+0 y~498 firstday
mjd:-488979 普通
# g:0527-04-29+0 y~1117 firstday
mjd:-486340 大通
# g:0529-11-19+0 y~190 firstday
mjd:-485405 中大通
# g:0535-02-20+0 y~482 firstday
mjd:-483486 大同(乙卯)
# g:0546-05-31+0 y~846 firstday
mjd:-479368 中大同
# g:0547-05-27+0 y~60 firstday
mjd:-479007 太清
# g:0550-02-04+0 y~878 firstday
mjd:-478023 大寶(庚午)
# g:0551-09-22+0 y~525 firstday
mjd:-477428 天正(辛未)
# g:0552-01-03+0 y~1690 firstday
mjd:-477325 太始(辛未)
# g:0552-05-10+1 y~60 wartime
mjd:-477196 太清
# g:0552-12-15+0 y~841 firstday
mjd:-476978 承聖
# g:0555-03-10+0 y~1658 firstday
mjd:-476163 大定
# g:0562-04-20+0 y~1403 firstday
mjd:-473565 天保(壬午)
# g:0586-02-25+0 y~1364 firstday
mjd:-464853 廣運
# g:0587-11-07+0 y~1439 administrative
mjd:-464233 開皇
# g:0601-02-11+0 y~876 firstday
mjd:-459389 仁壽(辛酉)
# g:0605-01-28+0 y~1682 firstday
mjd:-457942 大業
# g:0617-12-21+0 y~969 firstday
mjd:-453232 義寧
# g:0618-06-21+0 y~1106 firstday
mjd:-453050 武德
# g:0627-01-26+0 y~104 firstday
mjd:-449909 貞觀(丁亥)
# g:0650-02-10+0 y~422 firstday
mjd:-441493 永徽
# g:0656-02-10+0 y~724 firstday
mjd:-439302 顯慶
# g:0661-04-08+0 y~205 firstday
mjd:-437418 龍朔
# g:0664-02-05+0 y~1192 firstday
mjd:-436385 麟德
# g:0666-02-17+0 y~377 firstday
mjd:-435642 乾封
# g:0668-04-01+0 y~1272 firstday
mjd:-434868 總章
# g:0670-03-30+0 y~245 firstday
mjd:-434140 咸亨
# g:0674-09-23+0 y~1212 firstday
mjd:-432502 上元
# g:0676-12-21+0 y~824 firstday
mjd:-431682 儀鳳
# g:0679-07-18+0 y~770 firstday
mjd:-430743 調露
# g:0680-09-24+0 y~1445 firstday
mjd:-430309 永隆
# g:0681-11-18+0 y~594 firstday
mjd:-429889 開耀
# g:0682-04-05+0 y~1264 firstday
mjd:-429751 永淳
# g:0683-12-30+0 y~1157 firstday
mjd:-429117 弘道
# g:0684-01-26+0 y~1630 firstday
mjd:-429090 嗣聖
# g:0684-03-01+0 y~1657 firstday
mjd:-429055 文明(甲申)
# g:0684-11-15+0 y~1470 firstday
mjd:-428796 光宅
# g:0685-03-13+0 y~1481 firstday
mjd:-428678 垂拱
# g:0689-01-30+0 y~1365 firstday
mjd:-427259 永昌(己丑)
# g:0689-12-21+0 y~493 firstday
mjd:-426934 載初
# g:0690-10-19+0 y~505 firstday
mjd:-426632 天授(庚寅)
# g:0692-05-24+0 y~1574 firstday
mjd:-426049 如意
# g:0692-11-16+0 y~409 firstday
mjd:-425873 長壽
# g:0694-06-30+0 y~291 firstday
mjd:-425282 延載
# g:0695-02-21+0 y~1291 firstday
mjd:-425046 証聖
# g:0695-11-14+0 y~489 firstday
