# y~756 神武天皇
# + tag 1066 #日本南朝
# <https://data.suikawiki.org/tag/1003/graph?sequence=756%2B1066>
# g:-0659-02-11+0 y~756 firstyearstart
mjd:-919594 神武天皇
# g:-0580-02-10+0 y~1110 firstyearstart
mjd:-890742 綏靖天皇
# g:-0547-02-04+0 y~1681 firstyearstart
mjd:-878694 安寧天皇
# g:-0509-02-05+0 y~390 firstyearstart
mjd:-864814 懿徳天皇
# g:-0474-02-08+0 y~335 firstyearstart
mjd:-852028 孝昭天皇
# g:-0391-01-22+0 y~1174 firstyearstart
mjd:-821729 孝安天皇
# g:-0289-02-04+0 y~1544 firstyearstart
mjd:-784462 孝霊天皇
# g:-0213-02-04+0 y~406 firstyearstart
mjd:-756703 孝元天皇
# g:-0156-02-05+0 y~1175 firstyearstart
mjd:-735884 開化天皇
# g:-0096-02-03+0 y~1295 firstyearstart
mjd:-713972 崇神天皇
# g:-0028-02-01+0 y~239 firstyearstart
mjd:-689137 垂仁天皇
# g:0071-02-16+0 y~1228 firstyearstart
mjd:-652962 景行天皇
# g:0131-02-14+0 y~492 firstyearstart
mjd:-631050 成務天皇
# g:0192-01-31+0 y~1209 firstyearstart
mjd:-608784 仲哀天皇
# g:0201-01-22+0 y~662 firstyearstart
mjd:-605506 神功皇后摂政
# g:0270-02-08+0 y~309 firstyearstart
mjd:-580287 応神天皇
# g:0313-02-13+0 y~192 firstyearstart
mjd:-564577 仁徳天皇
# g:0400-02-12+0 y~76 firstyearstart
mjd:-532802 履中天皇
# g:0406-02-05+0 y~1461 firstyearstart
mjd:-530617 反正天皇
# g:0412-01-31+0 y~430 firstyearstart
mjd:-528431 允恭天皇
# g:0454-02-15+0 y~399 firstyearstart
mjd:-513075 安康天皇
# g:0457-02-11+0 y~372 firstyearstart
mjd:-511983 雄略天皇
# g:0480-01-29+0 y~1586 firstyearstart
mjd:-503596 清寧天皇
# g:0485-02-02+0 y~1335 firstyearstart
mjd:-501765 顕宗天皇
# g:0488-01-30+0 y~740 firstyearstart
mjd:-500673 仁賢天皇
# g:0499-01-29+0 y~1073 firstyearstart
mjd:-496656 武烈天皇
# g:0507-01-31+0 y~568 firstyearstart
mjd:-493733 継体天皇
# g:0534-02-01+0 y~853 firstyearstart
mjd:-483870 安閑天皇
# g:0536-02-10+0 y~152 firstyearstart
mjd:-483131 宣化天皇
# g:0540-01-27+0 y~683 firstyearstart
mjd:-481684 欽明天皇
